,0
restaurants,2.0544215146494076
vibrant,3.0209221475671817
cycling_friendly,2.289978736250121
car_friendly,1.9282532065646873
historic,2.619609801783923
quiet,3.134994993654261
parks,1.037254404922466
groceries,1.5310490372900916
cafes,2.44557483284336
transit_friendly,1.6739446509476226
greenery,1.820150401597105
year_built,37.39493667893901
walk_score,23.12748804520605
bedrooms,0.8553419202715364
bathrooms,0.5459637620421633
powder_rooms,0.35187723336229965
total_area,585.4004413150797
mr_distance,3.738205731160626
