,title,address,price,lat,long,Elementary schools,Car friendly,Quiet,Greenery,Parks,Grocery stores,Cycling friendly,Daycares,Pedestrian friendly,Shopping,Transit friendly,Restaurants,High schools,Historic,Vibrancy,Nightlife,Coffee Shops,rooms,bedrooms,bathroom,Condominium type,Net area,Year built,Parking (total),walk_score,Population 2016 ,Population variation between 2011 2016 ,Population density ,Unemployment rate 2016 ,"Less than $50,000 (%)","Between $50,000 and $80,000 (%)","Between $80,000 and $100,000 (%)","Between $100,000 and $150,000 (%)","More than $150,000 (%)",1-person households (%),2-person households (%),3-person households (%),4-person households (%),5-person or more households (%),Couples without children at home (%),Couples with children at home (%),Single-parent families (%),Owners (%),Renters (%),Before 1960 (%),Between 1961 and 1980 (%),Between 1981 and 1990 (%),Between 1991 and 2000 (%),Between 2001 and 2010 (%),Between 2011 and 2016 (%),Single-family homes (%),Semi-detached or row houses (%),Buildings with less than 5 floors (%),Buildings with 5 or more floors (%),Mobile homes (%),University (%),College (%),Secondary (high) school (%),Apprentice or trade school diploma (%),No diploma (%),Non-immigrant population (%),Immigrant population (%),French (%),English (%),Others languages (%),url,bathrooms,Pool,Additional features,in basement,powder room,Building style,Lot area,bedroom in basement,bedroom,Fireplace/Stove,Gross area,Parking (excluded from the price),bedrooms in basement,powder rooms,room,< 15 years (%),15 to 24 years (%),25 to 44 years (%),45 to 64 years (%),> 65 years (%),Unnamed: 0
1134,Condo for sale,"4720, Rue Jean-Talon Est, apt. 912, Montréal (Saint-Léonard)","$348,000",45.572655,-73.585521,9.0,8.0,3.0,4.0,8.0,10.0,6.0,10.0,10.0,9.0,9.0,8.0,9.0,2.0,5.0,4.0,6.0,6.0,2.0,1.0,Divided,850 sqft,2009,Garage (1),77,78305,3,5813,11,48.0,27.0,9.0,10.0,5.0,30.0,29.0,16.0,15.0,9.0,30.0,49.0,21.0,35.0,65.0,14.0,64.0,8.0,5.0,6.0,2.0,6.0,3.0,83.0,8.0,0.0,22.0,16.0,23.0,14.0,26.0,51.0,49.0,44.0,22.0,34.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,,,,,,,,,,,469.0
1135,Condo for sale,"801, Rue de la Commune Est, apt. 102, Montréal (Ville-Marie), Neighbourhood Old Montréal","$589,000",45.512298,-73.549781,3.0,5.0,4.0,4.0,10.0,10.0,8.0,8.0,9.0,10.0,10.0,10.0,3.0,7.0,10.0,10.0,10.0,7.0,2.0,,Divided,"1,019 sqft",2007,,76,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,2.0,Indoor,Elevator,,,,,,,,,,,,,,,,,,470.0
1136,Condo for sale,"1925, Rue Bossuet, apt. 6, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier","$274,900",45.570001,-73.527631,9.0,8.0,10.0,7.0,8.0,9.0,7.0,8.0,6.0,6.0,6.0,5.0,7.0,4.0,3.0,3.0,6.0,5.0,2.0,1.0,Divided,663 sqft,2010,Garage (1),21,136024,3,5347,9,52.0,24.0,9.0,11.0,5.0,45.0,32.0,12.0,8.0,4.0,42.0,35.0,23.0,34.0,66.0,43.0,31.0,10.0,5.0,7.0,4.0,5.0,5.0,86.0,4.0,0.0,29.0,17.0,21.0,14.0,20.0,79.0,21.0,85.0,5.0,10.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,,,,,,,,,,,471.0
1137,Condo for sale,"6666, Avenue Fielding, apt. 204, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce","$249,900",45.467108,-73.643349,8.0,6.0,8.0,5.0,8.0,9.0,7.0,10.0,10.0,7.0,8.0,7.0,9.0,2.0,5.0,3.0,5.0,4.0,2.0,1.0,Undivided,849 sqft,1962,,60,166011,1,7718,11,54.0,21.0,8.0,9.0,9.0,40.0,29.0,15.0,11.0,6.0,33.0,45.0,22.0,27.0,73.0,51.0,30.0,8.0,5.0,4.0,3.0,3.0,6.0,69.0,22.0,0.0,47.0,16.0,19.0,6.0,12.0,50.0,50.0,33.0,39.0,28.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,Elevator,,,,,,,,,,,,,,,,,,473.0
1138,Condo for sale,"6666, Avenue Fielding, apt. 109, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce","$299,900",45.467108,-73.643349,8.0,6.0,8.0,5.0,8.0,9.0,7.0,10.0,10.0,7.0,8.0,7.0,9.0,2.0,5.0,3.0,5.0,4.0,2.0,,Undivided,963 sqft,1962,,60,166011,1,7718,11,54.0,21.0,8.0,9.0,9.0,40.0,29.0,15.0,11.0,6.0,33.0,45.0,22.0,27.0,73.0,51.0,30.0,8.0,5.0,4.0,3.0,3.0,6.0,69.0,22.0,0.0,47.0,16.0,19.0,6.0,12.0,50.0,50.0,33.0,39.0,28.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,2.0,,,,,,,,,,,,,,,,,,,,475.0
1139,Condo for sale,"1188, Rue Saint-Antoine Ouest, apt. 4808, Montréal (Ville-Marie), Neighbourhood Central","$659,000",45.49575657,-73.56760003,8.0,4.0,4.0,5.0,10.0,9.0,5.0,6.0,10.0,10.0,10.0,10.0,7.0,6.0,10.0,10.0,10.0,5.0,2.0,1.0,Divided,,2019,Garage (1),94,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,Indoor,Elevator,,,,,,,,600 sqft,,,,,,,,,,477.0
1140,Condo for sale,"1255, boulevard Alexis-Nihon, apt. 608, Montréal (Saint-Laurent), Neighbourhood Saint-Laurent West","$829,000",45.50899873,-73.69623193,7.0,8.0,4.0,4.0,10.0,7.0,8.0,8.0,7.0,7.0,9.0,6.0,9.0,0.0,3.0,4.0,4.0,8.0,2.0,,Divided,"1,229 sqft",2018,Garage (2),47,98828,5,2299,10,42.0,24.0,10.0,13.0,12.0,28.0,27.0,17.0,17.0,11.0,29.0,53.0,18.0,49.0,51.0,27.0,31.0,12.0,9.0,16.0,6.0,11.0,15.0,45.0,30.0,0.0,39.0,16.0,21.0,7.0,17.0,45.0,55.0,37.0,25.0,38.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,2.0,Heated,"Adapted for reduced mobility, Elevator",,,,,,,,,,,,,,,,,,478.0
1141,Condo for sale,"2446, Rue Charles-Darwin, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc","$335,000",45.511578,-73.707761,3.0,7.0,9.0,5.0,10.0,9.0,8.0,9.0,6.0,7.0,6.0,6.0,4.0,0.0,3.0,2.0,6.0,4.0,,1.0,Divided,582 sqft,1995,Garage (2),43,98828,5,2299,10,42.0,24.0,10.0,13.0,12.0,28.0,27.0,17.0,17.0,11.0,29.0,53.0,18.0,49.0,51.0,27.0,31.0,12.0,9.0,16.0,6.0,11.0,15.0,45.0,30.0,0.0,39.0,16.0,21.0,7.0,17.0,45.0,55.0,37.0,25.0,38.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,1.0,,,,,,,,,,,,479.0
1142,Condo for sale,"1288, Rue Saint-Antoine Ouest, apt. 605, Montréal (Ville-Marie), Neighbourhood Central","$599,000",45.49523926,-73.56855954,8.0,5.0,2.0,3.0,10.0,9.0,4.0,6.0,9.0,10.0,10.0,10.0,7.0,6.0,10.0,10.0,10.0,6.0,,1.0,Divided,584 sqft,2020,Garage (1),94,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,1.0,,,,,,,,,,,,480.0
1143,Condominium house for sale,"2275, Rue du Borée, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc","$629,000",45.51587543,-73.71374476,3.0,9.0,10.0,2.0,6.0,6.0,5.0,2.0,5.0,6.0,5.0,5.0,2.0,0.0,2.0,2.0,4.0,7.0,3.0,1.0,Divided,,2014,Garage (1),31,98828,5,2299,10,42.0,24.0,10.0,13.0,12.0,28.0,27.0,17.0,17.0,11.0,29.0,53.0,18.0,49.0,51.0,27.0,31.0,12.0,9.0,16.0,6.0,11.0,15.0,45.0,30.0,0.0,39.0,16.0,21.0,7.0,17.0,45.0,55.0,37.0,25.0,38.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,1.0,Attached,,,,,,,,,,,,,,,482.0
