,title,address,price,lat,long,Elementary schools,Car friendly,Quiet,Greenery,Parks,Grocery stores,Cycling friendly,Daycares,Pedestrian friendly,Shopping,Transit friendly,Restaurants,High schools,Historic,Vibrancy,Nightlife,Coffee Shops,rooms,bedrooms,bathroom,Condominium type,Net area,Year built,Parking (total),walk_score,Population 2016 ,Population variation between 2011 2016 ,Population density ,Unemployment rate 2016 ,"Less than $50,000 (%)","Between $50,000 and $80,000 (%)","Between $80,000 and $100,000 (%)","Between $100,000 and $150,000 (%)","More than $150,000 (%)",1-person households (%),2-person households (%),3-person households (%),4-person households (%),5-person or more households (%),Couples without children at home (%),Couples with children at home (%),Single-parent families (%),Owners (%),Renters (%),Before 1960 (%),Between 1961 and 1980 (%),Between 1981 and 1990 (%),Between 1991 and 2000 (%),Between 2001 and 2010 (%),Between 2011 and 2016 (%),Single-family homes (%),Semi-detached or row houses (%),Buildings with less than 5 floors (%),Buildings with 5 or more floors (%),Mobile homes (%),University (%),College (%),Secondary (high) school (%),Apprentice or trade school diploma (%),No diploma (%),Non-immigrant population (%),Immigrant population (%),French (%),English (%),Others languages (%),url,bathrooms,Pool,Additional features,in basement,powder room,Building style,Lot area,bedroom in basement,bedroom,Fireplace/Stove,Gross area,Parking (excluded from the price),bedrooms in basement,powder rooms,room,< 15 years (%),15 to 24 years (%),25 to 44 years (%),45 to 64 years (%),> 65 years (%),Unnamed: 0
0,Condo for sale,"14522, Rue Bernard-Geoffrion, apt. 102, Montréal (Rivière-des-Prairies/Pointe-aux-Trembles), Neighbourhood Pointe-aux-Trembles","$289,900",45.6759450000,-73.4957630000,10,10,8,8,8,6,6,5,4,4,3,3,1,1,1,1,1,7,2,1,Divided,971 sqft,2014,Garage (1),15,106743,0,2515,7,38.0,25.0,12.0,17.0,8.0,28.0,32.0,17.0,15.0,8.0,34.0,43.0,23.0,64.0,36.0,13.0,28.0,31.0,14.0,11.0,3.0,26.0,24.0,47.0,3.0,0.0,16.0,17.0,25.0,18.0,24.0,76.0,24.0,71.0,16.0,13.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,,,,,,,,,,,
1,Condo for sale,"5150, Rue Buchan, apt. 3608, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges","$438,000",45.4976077300,-73.6521243700,7,8,6,3,8,10,3,6,9,9,9,8,7,0,4,4,5,5,2,,Divided,794 sqft,2013,Garage (1),65,166011,1,7718,11,54.0,21.0,8.0,9.0,9.0,40.0,29.0,15.0,11.0,6.0,33.0,45.0,22.0,27.0,73.0,51.0,30.0,8.0,5.0,4.0,3.0,3.0,6.0,69.0,22.0,0.0,47.0,16.0,19.0,6.0,12.0,50.0,50.0,33.0,39.0,28.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,2,"Inground, Indoor","Adapted for reduced mobility, Elevator",,,,,,,,,,,,,,,,,,
2,Condo for sale,"3940, Chemin de la Côte-des-Neiges, apt. D-32, Montréal (Ville-Marie), Neighbourhood Central West","$1,190,000",45.4950926200,-73.5945720300,10,8,3,9,10,9,8,6,9,10,9,10,10,5,7,8,9,10,4,,Undivided,"2,617 sqft","1929, Historic",Garage (1),49,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,3,,Elevator,,,,,,,,,,,,,,,,,,
3,Condominium house for sale,"5420, Rue Gabriele-Frascadore, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier","$350,000",45.6126920900,-73.5349646300,7,8,10,3,7,7,4,8,5,6,5,5,3,0,3,3,4,7,4,1,Divided,,2012,,41,136024,3,5347,9,52.0,24.0,9.0,11.0,5.0,45.0,32.0,12.0,8.0,4.0,42.0,35.0,23.0,34.0,66.0,43.0,31.0,10.0,5.0,7.0,4.0,5.0,5.0,86.0,4.0,0.0,29.0,17.0,21.0,14.0,20.0,79.0,21.0,85.0,5.0,10.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,Basement 6 feet or +,(1,1,Attached,"1,166 sqft",,,,,,,,,,,,,,
4,Loft / Studio for sale,"170, Rue Rioux, apt. 807, Montréal (Le Sud-Ouest), Neighbourhood Griffintown","$229,000",45.4915130000,-73.5606760000,7,5,6,7,10,10,10,8,10,10,9,10,4,6,9,9,10,3,,1,Divided,281 sqft,2020,,80,80153,9,5070,8,50.0,22.0,9.0,11.0,7.0,46.0,32.0,11.0,7.0,4.0,44.0,32.0,24.0,35.0,65.0,43.0,18.0,11.0,5.0,10.0,13.0,2.0,7.0,71.0,20.0,0.0,38.0,16.0,19.0,9.0,18.0,74.0,26.0,59.0,26.0,15.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,Elevator,,,,,1,,,,,,,,,,,,,
5,Condo for sale,"198, Rue Ann, apt. 1007, Montréal (Le Sud-Ouest), Neighbourhood Griffintown","$525,000",45.4949800000,-73.5580920000,9,5,0,4,10,10,10,10,9,10,10,10,3,6,9,9,10,5,2,1,Divided,578 sqft,2018,Garage (1),83,80153,9,5070,8,50.0,22.0,9.0,11.0,7.0,46.0,32.0,11.0,7.0,4.0,44.0,32.0,24.0,35.0,65.0,43.0,18.0,11.0,5.0,10.0,13.0,2.0,7.0,71.0,20.0,0.0,38.0,16.0,19.0,9.0,18.0,74.0,26.0,59.0,26.0,15.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,"Heated, Indoor",Elevator,,,,,,,,,,,,,,,,,,
6,Condo for sale,"7200, Avenue M.-B.-Jodoin, apt. 705, Montréal (Anjou)","$212,000",45.6062650000,-73.5832210000,5,8,6,4,8,9,5,4,7,7,7,6,4,0,3,2,4,6,,1,Divided,588 sqft,1987,Garage (1),51,42796,2,3103,10,45.0,26.0,10.0,12.0,7.0,38.0,31.0,13.0,12.0,7.0,38.0,41.0,21.0,44.0,56.0,15.0,49.0,16.0,10.0,10.0,1.0,8.0,9.0,65.0,18.0,0.0,25.0,17.0,23.0,14.0,20.0,66.0,34.0,76.0,8.0,16.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,"Adapted for reduced mobility, Elevator",,,,,,1,"Fireplace - Other, Wood fireplace",,,,,,,,,,,
7,Condo for sale,"9950, Place de l'Acadie, apt. 376, Montréal (Ahuntsic-Cartierville), Neighbourhood Nouveau Bordeaux","$289,000",45.5335258900,-73.6800912200,9,7,2,3,10,9,3,10,8,8,9,6,7,0,4,2,6,5,,1,Divided,551 sqft,2019,Garage (1),49,134245,6,5545,10,49.0,23.0,9.0,11.0,9.0,41.0,27.0,13.0,12.0,7.0,34.0,46.0,20.0,39.0,61.0,37.0,33.0,14.0,6.0,6.0,4.0,9.0,5.0,73.0,13.0,0.0,36.0,16.0,20.0,10.0,17.0,59.0,41.0,65.0,10.0,25.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,Elevator,,,,,,1,,,,,,,,,,,,
8,Condo for sale,"2103, Rue du Borée, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc","$649,000",45.5167410000,-73.7116280000,3,8,10,2,7,6,5,2,5,6,5,5,3,0,2,2,4,9,3,,Divided,,2016,Garage (1),36,98828,5,2299,10,42.0,24.0,10.0,13.0,12.0,28.0,27.0,17.0,17.0,11.0,29.0,53.0,18.0,49.0,51.0,27.0,31.0,12.0,9.0,16.0,6.0,11.0,15.0,45.0,30.0,0.0,39.0,16.0,21.0,7.0,17.0,45.0,55.0,37.0,25.0,38.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,2,,,(2,,,,,,,"1,446 sqft",,,,,,,,,,
9,Condo for sale,"4330, Rue Joliette, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Shop Angus","$364,000",45.5507312600,-73.5624544600,8,6,9,7,10,9,8,6,10,8,9,9,3,3,7,6,6,7,2,1,Divided,912 sqft,1989,Garage (1),69,139590,4,8741,8,52.0,22.0,9.0,11.0,7.0,49.0,29.0,11.0,8.0,3.0,43.0,36.0,21.0,30.0,70.0,52.0,24.0,9.0,5.0,5.0,4.0,2.0,3.0,89.0,6.0,0.0,41.0,17.0,17.0,10.0,15.0,77.0,23.0,83.0,6.0,11.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,,,,,,,,,,,
10,Condo for sale,"125, Place du Soleil, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs","$699,000",45.4649239900,-73.5423175900,5,10,9,8,7,7,7,4,4,4,4,4,1,0,2,1,5,7,3,1,Divided,"1,502 sqft",1987,"Driveway (1), Garage (1)",59,69229,5,7181,8,45.0,22.0,9.0,12.0,11.0,42.0,34.0,13.0,8.0,3.0,46.0,36.0,18.0,37.0,63.0,46.0,21.0,13.0,8.0,9.0,4.0,3.0,7.0,69.0,21.0,0.0,43.0,16.0,18.0,9.0,14.0,75.0,25.0,64.0,22.0,14.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,,,,,,,,,,,
11,Condo for sale,"1001, Place Mount-Royal, apt. 608, Montréal (Ville-Marie), Neighbourhood Central West","$799,000",45.5007130000,-73.5732740000,8,5,2,3,9,10,6,8,10,10,10,10,8,7,10,10,10,5,2,,Divided,,1989,Garage (1),96,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,2,"Heated, Indoor","Adapted for reduced mobility, Elevator, Semi-furnished",,1,,,,,,"1,332 sqft",,,,,,,,,,
12,Condo for sale,"682, Rue de la Métairie, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs","$569,000",45.4626670000,-73.5504040000,4,9,9,9,7,9,7,5,4,4,4,4,1,0,2,1,2,9,2,1,Divided,"1,179 sqft",1990,Garage (1),35,69229,5,7181,8,45.0,22.0,9.0,12.0,11.0,42.0,34.0,13.0,8.0,3.0,46.0,36.0,18.0,37.0,63.0,46.0,21.0,13.0,8.0,9.0,4.0,3.0,7.0,69.0,21.0,0.0,43.0,16.0,18.0,9.0,14.0,75.0,25.0,64.0,22.0,14.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,,,,,,,,,,,
13,Condo for sale,"901, Rue de la Commune Est, apt. 716, Montréal (Ville-Marie), Neighbourhood Old Montréal","$530,000",45.5134630000,-73.5495960000,2,6,4,3,10,10,8,6,9,10,9,10,3,7,9,10,10,5,,1,Divided,,2014,Garage (1),76,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,"Heated, Inground, Indoor","Adapted for reduced mobility, Elevator",,,,,,1,,810 sqft,,,,,,,,,,
14,Condo for sale,"340, Rue Sainte-Madeleine, apt. 4, Montréal (Le Sud-Ouest), Neighbourhood Pointe-Saint-Charles","$395,000",45.4803580000,-73.5521550000,9,7,9,7,8,9,7,8,9,9,8,9,7,6,5,5,7,5,2,1,Divided,684 sqft,2011,Garage (1),40,80153,9,5070,8,50.0,22.0,9.0,11.0,7.0,46.0,32.0,11.0,7.0,4.0,44.0,32.0,24.0,35.0,65.0,43.0,18.0,11.0,5.0,10.0,13.0,2.0,7.0,71.0,20.0,0.0,38.0,16.0,19.0,9.0,18.0,74.0,26.0,59.0,26.0,15.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,,,,,,,,,,,
15,Condo for sale,"2281, Avenue Desjardins, apt. C112, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Hochelaga-Maisonneuve","$399,000",45.5526667200,-73.5455150200,10,6,4,7,10,9,9,8,10,7,9,7,10,6,5,5,6,6,2,1,Divided,903 sqft,2009,Garage (1),84,136024,3,5347,9,52.0,24.0,9.0,11.0,5.0,45.0,32.0,12.0,8.0,4.0,42.0,35.0,23.0,34.0,66.0,43.0,31.0,10.0,5.0,7.0,4.0,5.0,5.0,86.0,4.0,0.0,29.0,17.0,21.0,14.0,20.0,79.0,21.0,85.0,5.0,10.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,Elevator,,,,,,,,,,,,,,,,,,
16,Condo for sale,"900, Rue Sherbrooke Ouest, apt. 62, Montréal (Ville-Marie), Neighbourhood Golden Square Mile","$599,000",45.5032791600,-73.5747872900,10,7,3,6,10,10,7,8,10,10,10,10,10,7,10,10,10,8,4,1,Divided,"1,311 sqft",1915,,95,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,1,,,,,,,,,,,,,,,,
17,Condo for sale,"4642, Rue Richard-Hewton, Montréal (Lachine), Neighbourhood West","$485,000",45.4382100000,-73.7078650000,10,9,10,8,10,3,6,5,4,4,5,4,5,2,2,2,5,6,2,1,Divided,"1,154 sqft",1986,Garage (1),26,44489,7,2498,9,48.0,22.0,10.0,12.0,9.0,40.0,29.0,14.0,11.0,5.0,35.0,41.0,24.0,43.0,57.0,44.0,27.0,9.0,7.0,7.0,6.0,15.0,10.0,70.0,6.0,0.0,27.0,16.0,23.0,13.0,21.0,77.0,23.0,59.0,30.0,11.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,,,,,,,,,,,
18,Condo for sale,"1155, Rue de la Montagne, apt. 1105, Montréal (Ville-Marie), Neighbourhood Golden Square Mile","$1,549,900",45.4966280000,-73.5724020000,6,6,0,5,10,10,4,8,10,10,10,10,8,7,10,10,10,10,3,,Divided,,2016,Garage (2),97,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,2,"Heated, Inground, Indoor",Elevator,,1,,,,,,"1,825 sqft","Garage (2 - $150,000)",,,,,,,,,
19,Condo for sale,"1375, Rue des Bassins, apt. 1208, Montréal (Le Sud-Ouest), Neighbourhood Griffintown","$465,000",45.4888350000,-73.5627770000,8,6,9,3,10,9,9,6,10,10,9,10,3,6,8,8,9,4,,1,Divided,504 sqft,2017,Garage (1),70,80153,9,5070,8,50.0,22.0,9.0,11.0,7.0,46.0,32.0,11.0,7.0,4.0,44.0,32.0,24.0,35.0,65.0,43.0,18.0,11.0,5.0,10.0,13.0,2.0,7.0,71.0,20.0,0.0,38.0,16.0,19.0,9.0,18.0,74.0,26.0,59.0,26.0,15.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,"Inground, Indoor",Elevator,,,,,,1,,,,,,,,,,,,
20,Condo for sale,"7630, Rue du Mans, apt. 1405, Montréal (Saint-Léonard)","$725,000",45.5835560000,-73.5836950000,9,6,8,6,8,9,3,5,10,8,8,7,5,0,5,4,6,9,3,,Divided,"1,675 sqft",2003,Garage (1),65,78305,3,5813,11,48.0,27.0,9.0,10.0,5.0,30.0,29.0,16.0,15.0,9.0,30.0,49.0,21.0,35.0,65.0,14.0,64.0,8.0,5.0,6.0,2.0,6.0,3.0,83.0,8.0,0.0,22.0,16.0,23.0,14.0,26.0,51.0,49.0,44.0,22.0,34.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,2,"Heated, Inground, Indoor","Adapted for reduced mobility, Elevator",,,,,,,,,,,,,,,,,,
21,Condo for sale,"1800, boulevard Angrignon, apt. 410, Montréal (LaSalle)","$357,500",45.4490570000,-73.6124440000,5,10,4,2,9,9,5,6,7,9,9,7,2,0,3,3,6,5,,1,Divided,704 sqft,2013,Garage (1),51,76853,3,4675,10,48.0,25.0,10.0,11.0,6.0,36.0,30.0,15.0,12.0,6.0,34.0,43.0,23.0,40.0,60.0,25.0,50.0,10.0,7.0,4.0,3.0,4.0,8.0,85.0,4.0,0.0,25.0,17.0,26.0,12.0,20.0,63.0,37.0,42.0,36.0,22.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,"Heated, Indoor",,,,,,,1,,,,,,,,,,,,
22,Condo for sale,"1235, Rue Bishop, apt. 1016, Montréal (Ville-Marie), Neighbourhood Golden Square Mile","$674,000",45.4959770000,-73.5755890000,6,4,0,4,10,10,4,10,10,10,10,10,9,7,10,10,10,6,2,,Divided,970 sqft,2014,Garage (70),98,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,2,,,,,,,,,,,,,,,,,,,,
23,Condo for sale,"3625, Rue Jean-Gascon, apt. 505, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc","$479,000",45.5097630000,-73.7203720000,7,8,9,2,8,6,6,6,5,6,6,5,6,0,2,1,5,6,2,1,Divided,907 sqft,2013,Garage (1),22,98828,5,2299,10,42.0,24.0,10.0,13.0,12.0,28.0,27.0,17.0,17.0,11.0,29.0,53.0,18.0,49.0,51.0,27.0,31.0,12.0,9.0,16.0,6.0,11.0,15.0,45.0,30.0,0.0,39.0,16.0,21.0,7.0,17.0,45.0,55.0,37.0,25.0,38.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,Indoor,"Adapted for reduced mobility, Elevator",,,,,,,,,,,,,,,,,,
24,Condo for sale,"1310, boulevard René-Lévesque Ouest, apt. 3707, Montréal (Ville-Marie), Neighbourhood Golden Square Mile","$1,699,000",45.4966280000,-73.5724020000,6,6,0,5,10,10,4,8,10,10,10,10,8,7,10,10,10,5,3,,Divided,"1,897 sqft",2018,Garage (2),97,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,3,"Inground, Indoor","Adapted for reduced mobility, Elevator",,,,,,,,,,,,,,,,,,
25,Condo for sale,"700, Rue Saint-Paul Ouest, apt. 725, Montréal (Ville-Marie), Neighbourhood La Cité du Multimédia","$394,900",45.4990812800,-73.5584440000,10,4,0,6,8,9,7,10,10,10,10,10,4,9,10,10,10,3,,1,Divided,513 sqft,2020,,91,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,"Heated, Inground, Indoor","Adapted for reduced mobility, Elevator",,,,,,1,,,,,,,,,,,,
26,Condo for sale,"3980, Chemin de la Côte-des-Neiges, apt. B-07, Montréal (Ville-Marie), Neighbourhood Central West","$359,900",45.4948026900,-73.5942054100,10,8,5,9,10,9,8,6,9,10,9,10,10,5,7,8,9,7,,1,Divided,656 sqft,"1931, Historic",Garage (1),49,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,Elevator,,,,,,1,,,,,,,,,,,,
27,Condo for sale,"1, Rue McGill, apt. 309, Montréal (Ville-Marie), Neighbourhood Old Montréal","$668,000",45.4990668800,-73.5535628300,7,7,0,3,10,10,8,6,10,10,9,10,3,9,9,10,10,5,2,,Divided,"1,176 sqft",1994,,89,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,2,,Elevator,,,,,,,,,,,,,,,,,,
28,Condo for sale,"9615, Avenue Papineau, apt. 315, Montréal (Ahuntsic-Cartierville), Neighbourhood Ahuntsic East","$299,900",45.5652198100,-73.6455780100,9,9,0,5,8,9,7,9,8,8,9,7,10,2,5,4,5,7,2,1,Divided,861 sqft,2015,,59,134245,6,5545,10,49.0,23.0,9.0,11.0,9.0,41.0,27.0,13.0,12.0,7.0,34.0,46.0,20.0,39.0,61.0,37.0,33.0,14.0,6.0,6.0,4.0,9.0,5.0,73.0,13.0,0.0,36.0,16.0,20.0,10.0,17.0,59.0,41.0,65.0,10.0,25.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,"Heated, Inground","Adapted for reduced mobility, Elevator",,,,,,,,,,,,,,,,,,
29,Condo for sale,"6644, Avenue Somerled, apt. 304, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce","$389,500",45.4658140000,-73.6395180000,9,6,7,8,8,10,7,8,10,7,8,7,9,3,5,4,6,7,2,1,Divided,973 sqft,2003,Garage (1),62,166011,1,7718,11,54.0,21.0,8.0,9.0,9.0,40.0,29.0,15.0,11.0,6.0,33.0,45.0,22.0,27.0,73.0,51.0,30.0,8.0,5.0,4.0,3.0,3.0,6.0,69.0,22.0,0.0,47.0,16.0,19.0,6.0,12.0,50.0,50.0,33.0,39.0,28.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,"Adapted for reduced mobility, Elevator",,,,,,,,,,,,,,,,,,
30,Condo for sale,"6745, boulevard Maurice-Duplessis, apt. 518, Montréal (Montréal-Nord)","$319,000",45.6178340000,-73.6127450000,8,10,4,5,7,8,5,10,7,6,8,5,8,0,3,3,5,8,2,1,Divided,,2012,Garage (1),50,84234,0,7637,12,59.0,24.0,7.0,7.0,2.0,37.0,28.0,15.0,12.0,9.0,28.0,42.0,30.0,28.0,72.0,28.0,52.0,11.0,4.0,3.0,2.0,8.0,5.0,77.0,10.0,0.0,15.0,13.0,23.0,18.0,31.0,58.0,42.0,67.0,8.0,25.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,927 sqft,,,,,,,,,,
31,Condo for sale,"7020, Rue Allard, apt. 107, Montréal (LaSalle)","$229,000",45.4476906600,-73.6065963500,7,10,3,5,10,9,5,5,7,9,10,7,3,2,4,3,6,4,,1,Divided,400 sqft,2014,,52,76853,3,4675,10,48.0,25.0,10.0,11.0,6.0,36.0,30.0,15.0,12.0,6.0,34.0,43.0,23.0,40.0,60.0,25.0,50.0,10.0,7.0,4.0,3.0,4.0,8.0,85.0,4.0,0.0,25.0,17.0,26.0,12.0,20.0,63.0,37.0,42.0,36.0,22.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,,,,,,,,,,,
32,Condo for sale,"740, boulevard Montpellier, apt. 1611, Montréal (Saint-Laurent), Neighbourhood Others","$354,800",45.5192750000,-73.6709410000,9,8,6,6,8,10,4,8,8,8,9,7,9,2,4,2,5,8,2,1,Divided,929 sqft,1978,Garage (1),60,98828,5,2299,10,42.0,24.0,10.0,13.0,12.0,28.0,27.0,17.0,17.0,11.0,29.0,53.0,18.0,49.0,51.0,27.0,31.0,12.0,9.0,16.0,6.0,11.0,15.0,45.0,30.0,0.0,39.0,16.0,21.0,7.0,17.0,45.0,55.0,37.0,25.0,38.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,"Heated, Inground, Indoor",Elevator,,,,,,,,,,,,,,,,,,
33,Condo for sale,"7114, Rue Chambord, Montréal (Rosemont/La Petite-Patrie), Neighbourhood La Petite-Patrie","$320,000",45.5440726900,-73.6092654600,9,4,5,8,9,10,9,9,10,10,9,10,10,5,9,7,9,4,,1,Undivided,621 sqft,1940,Driveway (1),82,139590,4,8741,8,52.0,22.0,9.0,11.0,7.0,49.0,29.0,11.0,8.0,3.0,43.0,36.0,21.0,30.0,70.0,52.0,24.0,9.0,5.0,5.0,4.0,2.0,3.0,89.0,6.0,0.0,41.0,17.0,17.0,10.0,15.0,77.0,23.0,83.0,6.0,11.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,1,,,,,,,,,,,,
34,Condo for sale,"1369, boulevard Alexis-Nihon, apt. 301, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc","$499,000",45.5106855200,-73.6976618300,7,8,4,4,10,7,8,6,6,7,8,6,9,0,3,4,4,6,3,1,Divided,"1,214 sqft",2011,Garage (1),48,98828,5,2299,10,42.0,24.0,10.0,13.0,12.0,28.0,27.0,17.0,17.0,11.0,29.0,53.0,18.0,49.0,51.0,27.0,31.0,12.0,9.0,16.0,6.0,11.0,15.0,45.0,30.0,0.0,39.0,16.0,21.0,7.0,17.0,45.0,55.0,37.0,25.0,38.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,1,,,,,,,,,,,,,,,,
35,Condo for sale,"1919, Rue Beaudry, apt. 2, Montréal (Ville-Marie), Neighbourhood Village","$520,000",45.5214940000,-73.5616570000,10,3,7,6,10,10,10,6,10,10,10,10,7,7,10,10,10,6,2,1,Divided,"1,090 sqft",2004,Driveway (1),90,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,,,,,,,,,,,
36,Condo for sale,"7150, Impasse de l'Eau-Vive, Montréal (Anjou)","$194,900",45.6079350000,-73.5877250000,3,9,9,6,7,9,4,2,6,7,6,6,4,0,3,2,4,4,,1,Divided,709 sqft,1990,Driveway (1),47,42796,2,3103,10,45.0,26.0,10.0,12.0,7.0,38.0,31.0,13.0,12.0,7.0,38.0,41.0,21.0,44.0,56.0,15.0,49.0,16.0,10.0,10.0,1.0,8.0,9.0,65.0,18.0,0.0,25.0,17.0,23.0,14.0,20.0,66.0,34.0,76.0,8.0,16.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,"Heated, Inground",,,,,,,1,,,,,,,,,,,,
