,index,title,address,price,lat,long,restaurants,shopping,vibrant,cycling_friendly,car_friendly,historic,quiet,elementary_schools,high_schools,parks,nightlife,groceries,daycares,pedestrian_friendly,cafes,transit_friendly,greenery,year_built,population_2016_,population_variation_between_2011_2016_,population_density_,unemployment_rate_2016_,"less_than_$50,000_(%)","between_$50,000_and_$80,000_(%)","between_$80,000_and_$100,000_(%)","between_$100,000_and_$150,000_(%)","more_than_$150,000_(%)",1-person_households_(%),2-person_households_(%),3-person_households_(%),4-person_households_(%),5-person_or_more_households_(%),couples_without_children_at_home_(%),couples_with_children_at_home_(%),single-parent_families_(%),owners_(%),renters_(%),before_1960_(%),between_1961_and_1980_(%),between_1981_and_1990_(%),between_1991_and_2000_(%),between_2001_and_2010_(%),between_2011_and_2016_(%),single-family_homes_(%),semi-detached_or_row_houses_(%),buildings_with_less_than_5_floors_(%),buildings_with_5_or_more_floors_(%),mobile_homes_(%),university_(%),college_(%),secondary_(high)_school_(%),apprentice_or_trade_school_diploma_(%),no_diploma_(%),non-immigrant_population_(%),immigrant_population_(%),french_(%),english_(%),others_languages_(%),walk_score,rooms,bedrooms,basement_bedroom,bathrooms,powder_rooms,total_area,new_area_from_price,new_area_from_rooms,river_proximity,has_pool,n_parking,has_garage,is_devided,mr_distance
0,0,Condo for sale,"5050, Rue Bannantyne, apt. 203, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",409000,45.456079,-73.575949,7.0,8.0,5.0,9.0,6.0,5.0,8.0,10.0,7.0,10,3.0,9.0,9.0,10.0,5.0,8.0,5.0,2008.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,80.0,8.0,2.0,False,1.0,0.0,1014.0,1014.0,1014.0,False,False,1.0,True,1,5.660492193844704
1,1,Condo for sale,"201, Chemin de la Pointe-Sud, apt. 216, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",680000,45.449347,-73.553327,3.0,3.0,1.0,7.0,10.0,0.0,10.0,7.0,0.0,8,0.0,2.0,4.0,3.0,1.0,4.0,5.0,2006.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,11.0,6.0,3.0,False,2.0,0.0,1249.0,1249.0,1249.0,False,True,2.0,True,1,7.062361025112228
2,2,Condo for sale,"8800, Rue Verville, apt. 101, Montréal (Ahuntsic-Cartierville), Neighbourhood Ahuntsic West",283000,45.53658924,-73.64658957,8.0,10.0,5.0,3.0,6.0,2.0,0.0,9.0,7.0,8,4.0,10.0,6.0,8.0,6.0,9.0,4.0,2007.0,134245,6,5545,10,49,23,9,11,9,41,27,13,12,7,34,46,20,39,61,37,33,14,6,6,4,9,5,73,13,0,36,16,20,10,17,59,41,65.0,10.0,25.0,72.0,6.0,2.0,False,1.0,0.0,848.0,848.0,848.0,False,False,1.0,True,1,5.191899992782523
3,3,Condo for sale,"185, Rue du Séminaire, apt. 605, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",339000,45.490915,-73.560779,10.0,10.0,9.0,9.0,5.0,6.0,7.0,7.0,4.0,10,9.0,10.0,8.0,10.0,10.0,9.0,5.0,2013.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,70.0,4.0,1.0,False,1.0,0.0,621.0,621.0,621.0,False,True,0.0,False,1,3.2808722769156717
4,4,Condo for sale,"7075, Rue Bombardier, apt. 108, Montréal (Anjou)",177800,45.606186,-73.588353,6.0,7.0,3.0,4.0,9.0,0.0,6.0,4.0,5.0,8,3.0,9.0,2.0,7.0,4.0,7.0,5.0,1993.0,42796,2,3103,10,45,26,10,12,7,38,31,13,12,7,38,41,21,44,56,15,49,16,10,10,1,8,9,65,18,0,25,17,23,14,20,66,34,76.0,8.0,16.0,53.0,6.0,1.0,False,1.0,0.0,586.0,586.0,586.0,False,False,1.0,False,1,11.326104218321882
5,6,Condo for sale,"1000, Rue Ottawa, apt. 823, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",365000,45.494718,-73.558671,10.0,10.0,9.0,10.0,5.0,6.0,3.0,9.0,3.0,10,9.0,10.0,9.0,10.0,10.0,10.0,3.0,2014.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,83.0,3.0,1.0,False,1.0,0.0,464.0,464.0,464.0,False,True,1.0,True,1,3.2622544292759645
6,11,Condo for sale,"7905, Rue Saint-Hubert, apt. 301, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray",389000,45.54565671,-73.62419113,10.0,10.0,8.0,9.0,5.0,5.0,7.0,9.0,8.0,10,6.0,10.0,10.0,10.0,8.0,9.0,5.0,2010.0,143853,1,8692,11,58,23,8,8,3,40,29,14,11,7,33,42,25,28,72,49,33,6,4,4,3,3,2,91,4,0,29,14,20,11,26,56,44,57.0,10.0,33.0,85.0,5.0,2.0,False,1.0,0.0,729.0,729.0,729.0,False,False,0.0,True,1,5.001570293776763
7,12,Condo for sale,"266, Rue Argyle, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",429000,45.45288237,-73.56885866,7.0,7.0,5.0,9.0,6.0,5.0,6.0,10.0,3.0,10,4.0,9.0,9.0,10.0,6.0,8.0,6.0,1930.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,71.0,7.0,3.0,False,1.0,0.0,1442.0,1442.0,1442.0,False,False,0.0,False,0,6.181844324587836
8,13,Condo for sale,"6890, Rue Lacroix, Montréal (Le Sud-Ouest), Neighbourhood Saint-Paul/Émard",139000,45.44806335,-73.60140104,6.0,8.0,4.0,6.0,7.0,3.0,4.0,8.0,4.0,10,3.0,7.0,5.0,7.0,4.0,9.0,7.0,1955.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,50.0,3.0,1.0,False,1.0,0.0,450.0,450.0,450.0,False,False,0.0,False,1,6.287065149445805
13,19,Condo for sale,"440, Rue De La Gauchetière Est, apt. 305, Montréal (Ville-Marie), Neighbourhood Central",315000,45.512515,-73.556237,10.0,10.0,10.0,8.0,4.0,7.0,6.0,4.0,5.0,10,10.0,9.0,8.0,10.0,10.0,10.0,6.0,2013.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,89.0,4.0,1.0,False,1.0,0.0,623.0,623.0,623.0,False,False,0.0,False,1,3.380391233265058
14,23,Condo for sale,"1200, Rue Saint-Alexandre, apt. 622, Montréal (Ville-Marie), Neighbourhood Central West",360000,45.50463,-73.566429,10.0,10.0,10.0,6.0,5.0,7.0,3.0,7.0,7.0,10,10.0,10.0,10.0,10.0,10.0,10.0,4.0,2009.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,98.0,3.0,1.0,False,1.0,0.0,369.0,369.0,369.0,False,False,0.0,False,1,2.468483949975715
15,26,Condo for sale,"7700, Rue du Mans, apt. 101, Montréal (Saint-Léonard)",988000,45.58408,-73.584876,7.0,8.0,5.0,3.0,7.0,0.0,4.0,9.0,4.0,8,4.0,9.0,5.0,10.0,6.0,7.0,3.0,2011.0,78305,3,5813,11,48,27,9,10,5,30,29,16,15,9,30,49,21,35,65,14,64,8,5,6,2,6,3,83,8,0,22,16,23,14,26,51,49,44.0,22.0,34.0,64.0,12.0,5.0,False,3.0,0.0,2659.0,2659.0,2659.0,False,False,5.0,True,1,8.902357235434833
16,28,Condo for sale,"4790, Avenue Victoria, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",748000,45.48611086,-73.61922813,9.0,9.0,5.0,3.0,8.0,4.0,7.0,9.0,9.0,8,4.0,7.0,8.0,8.0,6.0,9.0,8.0,1929.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,45.0,11.0,4.0,False,2.0,1.0,1860.0,1860.0,1860.0,False,False,2.0,True,1,2.630217113120257
17,30,Condo for sale,"299, Rue de la Rotonde, apt. 204, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",528000,45.47305019,-73.53844783,6.0,5.0,3.0,5.0,10.0,0.0,9.0,1.0,3.0,8,4.0,6.0,2.0,5.0,4.0,6.0,3.0,2014.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,35.0,5.0,1.0,False,1.0,1.0,1043.0,1043.0,1043.0,True,True,1.0,True,1,5.822355944679923
18,31,Condo for sale,"4755, Avenue Papineau, apt. 209, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",450000,45.534439,-73.577269,10.0,10.0,10.0,10.0,6.0,7.0,0.0,9.0,8.0,10,10.0,10.0,9.0,10.0,10.0,9.0,6.0,2017.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,90.0,8.0,2.0,False,1.0,0.0,783.0,783.0,783.0,False,False,1.0,True,1,3.6980410107454187
19,32,Loft / Studio for sale,"4225, Rue Saint-Dominique, apt. 209, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",549000,45.518902,-73.581446,10.0,10.0,10.0,10.0,3.0,7.0,6.0,10.0,8.0,10,10.0,10.0,9.0,10.0,10.0,9.0,5.0,1952.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,96.0,1.0,1.0,False,1.0,0.0,950.0,950.0,950.0,False,False,1.0,True,1,2.0564908131434403
20,35,Condo for sale,"1451, Rue Parthenais, apt. 114, Montréal (Ville-Marie), Neighbourhood Central",434800,45.5267,-73.549646,10.0,10.0,9.0,10.0,5.0,6.0,5.0,10.0,9.0,10,9.0,10.0,6.0,10.0,9.0,10.0,4.0,2007.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,85.0,4.0,2.0,False,1.0,0.0,1005.0,1005.0,1005.0,False,False,1.0,True,1,4.50753861681572
21,37,Condo for sale,"350, Rue Berri, apt. 501, Montréal (Ville-Marie), Neighbourhood Old Montréal",929000,45.51090604,-73.55039425,10.0,10.0,10.0,8.0,5.0,7.0,0.0,3.0,3.0,10,10.0,10.0,8.0,8.0,10.0,10.0,7.0,2014.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,83.0,7.0,2.0,False,2.0,0.0,1076.0,1076.0,1076.0,True,False,1.0,True,1,3.784305821710961
22,39,Condo for sale,"4253, Rue De Richelieu, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne",310000,45.4784162,-73.59176036,10.0,10.0,7.0,6.0,6.0,6.0,3.0,9.0,10.0,8,6.0,10.0,10.0,10.0,8.0,9.0,6.0,2010.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,79.0,7.0,2.0,False,1.0,0.0,806.0,806.0,806.0,False,False,0.0,False,1,2.9484842447458126
23,43,Condo for sale,"115, Chemin de la Côte-Sainte-Catherine, apt. 601, Montréal (Outremont)",679000,45.516172,-73.594699,10.0,10.0,10.0,9.0,6.0,6.0,3.0,9.0,9.0,10,10.0,9.0,6.0,10.0,10.0,9.0,9.0,1986.0,23954,2,6254,6,29,19,9,15,27,33,30,14,13,10,34,50,16,54,46,73,16,4,4,2,1,8,14,59,19,0,59,14,15,3,10,74,26,61.0,19.0,20.0,90.0,5.0,2.0,False,2.0,0.0,1214.0,1214.0,1214.0,False,True,1.0,True,1,1.3185016372333473
24,44,Condo for sale,"90, Rue des Soeurs-Grises, apt. 202, Montréal (Ville-Marie), Neighbourhood La Cité du Multimédia",545000,45.498789,-73.554597,10.0,10.0,10.0,9.0,5.0,9.0,4.0,8.0,3.0,10,10.0,10.0,8.0,10.0,10.0,9.0,4.0,2003.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,89.0,3.0,1.0,False,1.0,0.0,1200.0,1200.0,1200.0,False,True,1.0,True,1,3.450854582793681
25,46,Condo for sale,"3940, Chemin de la Côte-des-Neiges, apt. B84, Montréal (Ville-Marie), Neighbourhood Central West",699000,45.495416,-73.594969,10.0,10.0,7.0,8.0,8.0,5.0,3.0,10.0,10.0,10,8.0,9.0,6.0,9.0,9.0,9.0,9.0,1929.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,49.0,5.0,2.0,False,1.0,1.0,1468.0,1468.0,1468.0,False,False,1.0,True,0,1.0453874554010805
26,47,Condo for sale,"3525, Rue Saint-Urbain, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",499000,45.51198082,-73.57160698,10.0,10.0,10.0,10.0,5.0,7.0,3.0,7.0,10.0,10,10.0,9.0,10.0,10.0,10.0,10.0,6.0,1900.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,95.0,7.0,3.0,False,1.0,0.0,1145.0,1145.0,1145.0,False,False,0.0,False,1,2.223707337842013
27,48,Condo for sale,"500, Rue de la Montagne, apt. 710, Montréal (Ville-Marie), Neighbourhood Central",849000,45.49306774,-73.56544216,10.0,10.0,10.0,8.0,5.0,6.0,0.0,8.0,6.0,10,10.0,10.0,8.0,10.0,10.0,10.0,6.0,1993.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,90.0,9.0,3.0,False,2.0,0.0,1549.0,1549.0,1549.0,False,False,2.0,True,1,2.8482271907582715
28,49,Condo for sale,"4427, Rue Marquette, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",592000,45.531833,-73.574155,10.0,10.0,10.0,10.0,3.0,7.0,7.0,9.0,9.0,10,10.0,10.0,9.0,10.0,10.0,9.0,8.0,1927.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,93.0,5.0,2.0,False,1.0,0.0,916.0,916.0,916.0,False,False,0.0,False,0,3.560965031655118
30,52,Condo for sale,"5090, Avenue Charlemagne, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Old Rosemont",599800,45.556431,-73.565662,8.0,8.0,5.0,7.0,6.0,4.0,4.0,9.0,5.0,10,5.0,9.0,8.0,10.0,6.0,9.0,7.0,2000.0,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,63.0,6.0,4.0,False,1.0,0.0,1471.0,1471.0,1471.0,False,False,2.0,True,1,6.297412693493802
31,54,Condo for sale,"6455, boulevard De Maisonneuve Ouest, apt. 6, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",309000,45.462996,-73.624257,7.0,8.0,5.0,5.0,7.0,3.0,0.0,10.0,10.0,7,4.0,9.0,10.0,7.0,5.0,8.0,8.0,2000.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,68.0,4.0,2.0,False,1.0,0.0,941.0,941.0,941.0,False,False,120.0,False,1,5.051152958915117
32,55,Condo for sale,"1240, Rue Saint-Timothée, apt. 6, Montréal (Ville-Marie), Neighbourhood Village",599000,45.516328,-73.556511,10.0,10.0,10.0,9.0,4.0,7.0,7.0,6.0,5.0,10,10.0,10.0,9.0,10.0,10.0,10.0,6.0,2006.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,93.0,9.0,2.0,False,2.0,0.0,1125.0,1125.0,1125.0,False,False,1.0,True,1,3.495367635649564
33,56,Condo for sale,"6300, Place Northcrest, apt. 6D, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",1459000,45.51226035,-73.62263124,9.0,10.0,5.0,5.0,4.0,4.0,6.0,10.0,10.0,10,5.0,9.0,8.0,10.0,7.0,9.0,9.0,1989.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,55.0,10.0,2.0,False,2.0,0.0,2121.0,2121.0,2121.0,False,True,2.0,True,1,2.0944724208793253
35,60,Condo for sale,"3239, boulevard Édouard-Montpetit, apt. 5, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",415000,45.49947,-73.622624,9.0,9.0,5.0,5.0,5.0,4.0,5.0,9.0,10.0,9,5.0,10.0,9.0,10.0,8.0,9.0,7.0,1929.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,83.0,5.0,2.0,False,1.0,0.0,1212.0,1212.0,1212.0,False,False,1.0,True,0,1.9929195364916523
37,62,Condo for sale,"366, Rue Mayor, apt. 402, Montréal (Ville-Marie), Neighbourhood Central",279000,45.506408,-73.568248,10.0,10.0,10.0,7.0,5.0,7.0,3.0,8.0,8.0,10,10.0,10.0,9.0,10.0,10.0,10.0,3.0,2014.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,98.0,4.0,1.0,False,1.0,0.0,394.0,394.0,394.0,False,False,0.0,False,1,2.3357629511815046
38,63,Condo for sale,"3860, Rue Masson, apt. 3, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Old Rosemont",397000,45.55680359,-73.56972719,8.0,9.0,7.0,8.0,6.0,4.0,7.0,10.0,7.0,10,5.0,10.0,10.0,10.0,6.0,9.0,5.0,2007.0,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,70.0,6.0,3.0,False,1.0,0.0,898.0,898.0,898.0,False,False,1.0,False,1,6.215855965099761
39,65,Condo for sale,"2323, Rue Le Caron, apt. 259, Montréal (Le Sud-Ouest), Neighbourhood Saint-Paul/Émard",319000,45.46231865,-73.59582885,8.0,8.0,5.0,9.0,6.0,5.0,8.0,8.0,7.0,10,4.0,10.0,8.0,10.0,6.0,8.0,8.0,2010.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,64.0,3.0,1.0,False,1.0,0.0,604.0,604.0,604.0,False,False,2.0,True,1,4.7000382825005325
40,67,Condo for sale,"1250, Rue de la Visitation, apt. 101, Montréal (Ville-Marie), Neighbourhood Village",399000,45.518682,-73.554462,10.0,10.0,10.0,10.0,4.0,7.0,7.0,8.0,4.0,10,10.0,10.0,6.0,10.0,10.0,10.0,5.0,1987.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,87.0,6.0,1.0,False,1.0,0.0,530.0,530.0,530.0,False,False,0.0,False,1,3.74583564622951
41,69,Condo for sale,"318, Rue Marie-Anne Est, apt. B, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",329000,45.522107,-73.581176,10.0,10.0,10.0,10.0,2.0,7.0,5.0,10.0,7.0,10,10.0,10.0,9.0,10.0,10.0,10.0,5.0,1935.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,96.0,5.0,1.0,False,1.0,0.0,630.0,630.0,630.0,False,False,0.0,False,0,2.355427364783017
42,70,Condo for sale,"4721, Rue Rivard, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",499000,45.525829,-73.584964,10.0,10.0,10.0,10.0,2.0,7.0,5.0,10.0,7.0,10,10.0,10.0,10.0,10.0,10.0,10.0,6.0,1998.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,95.0,5.0,2.0,False,1.0,1.0,1086.0,1086.0,1086.0,False,False,0.0,False,1,2.577409510408037
43,71,Condo for sale,"5235, Avenue De Gaspé, apt. 8, Montréal (Le Plateau-Mont-Royal), Neighbourhood Mile-End",675000,45.526365,-73.593273,10.0,10.0,10.0,10.0,2.0,6.0,8.0,9.0,10.0,10,10.0,10.0,9.0,10.0,10.0,9.0,5.0,2001.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,95.0,5.0,3.0,False,1.0,0.0,1260.0,1260.0,1260.0,False,False,0.0,True,1,2.4539795518246876
44,74,Condo for sale,"2535, Rue Modugno, apt. 704, Montréal (Saint-Laurent), Neighbourhood Saint-Laurent West",486000,45.50690068,-73.69856408,6.0,7.0,3.0,8.0,7.0,0.0,9.0,6.0,10.0,9,4.0,7.0,6.0,6.0,4.0,7.0,5.0,2004.0,98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,36.0,5.0,2.0,False,2.0,0.0,1301.0,1301.0,1301.0,False,False,2.0,True,1,7.833152045804167
45,75,Condo for sale,"4392, Avenue Beaconsfield, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",675000,45.470377,-73.629809,8.0,8.0,5.0,6.0,6.0,5.0,8.0,9.0,9.0,8,4.0,9.0,10.0,10.0,6.0,8.0,9.0,1931.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,71.0,6.0,2.0,False,2.0,0.0,1168.0,1168.0,1168.0,False,False,0.0,False,0,4.53359600810216
46,76,Condo for sale,"3950, Rue Claude, apt. 301, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",307000,45.464629,-73.573134,9.0,9.0,5.0,10.0,6.0,6.0,8.0,9.0,4.0,9,4.0,10.0,10.0,10.0,6.0,9.0,6.0,1986.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,78.0,5.0,2.0,False,1.0,0.0,780.0,780.0,780.0,False,False,1.0,False,1,4.847795838994049
47,77,Condo for sale,"5028, Avenue des Érables, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",575000,45.538195,-73.577434,10.0,10.0,9.0,10.0,4.0,6.0,3.0,10.0,7.0,10,9.0,10.0,8.0,10.0,9.0,9.0,6.0,1910.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,80.0,6.0,2.0,False,1.0,0.0,1065.0,1065.0,1065.0,False,False,1.0,False,1,4.072303495440674
48,78,Condo for sale,"200, Avenue des Sommets, apt. 807, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",495000,45.450053,-73.54818,3.0,3.0,1.0,7.0,9.0,0.0,9.0,8.0,0.0,9,0.0,2.0,5.0,3.0,1.0,5.0,6.0,2004.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,14.0,4.0,2.0,False,1.0,1.0,867.0,867.0,867.0,True,True,1.0,True,1,7.202930943777698
51,83,Condo for sale,"3953, Avenue du Mont-Royal Est, apt. 05, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Shop Angus",419000,45.554605,-73.560055,8.0,8.0,5.0,8.0,6.0,3.0,4.0,9.0,5.0,10,5.0,9.0,6.0,10.0,6.0,9.0,7.0,2005.0,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,63.0,5.0,2.0,False,1.0,0.0,1004.0,1004.0,1004.0,False,False,1.0,False,1,6.30513948201656
54,86,Condo for sale,"185, Rue du Séminaire, apt. 307, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",340000,45.490915,-73.560779,10.0,10.0,9.0,9.0,5.0,6.0,7.0,7.0,4.0,10,9.0,10.0,8.0,10.0,10.0,9.0,5.0,2013.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,70.0,3.0,1.0,False,1.0,0.0,589.0,589.0,589.0,False,True,0.0,False,1,3.2808722769156717
55,88,Condo for sale,"4118, Avenue du Parc-La Fontaine, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",838000,45.52496926,-73.57342174,10.0,10.0,10.0,10.0,5.0,7.0,5.0,9.0,8.0,10,10.0,9.0,8.0,10.0,10.0,9.0,10.0,1900.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,90.0,10.0,4.0,False,2.0,0.0,1724.0,1724.0,1724.0,False,False,1.0,True,1,2.974945917870695
