,index,title,address,price,lat,long,restaurants,shopping,vibrant,cycling_friendly,car_friendly,historic,quiet,elementary_schools,high_schools,parks,nightlife,groceries,daycares,pedestrian_friendly,cafes,transit_friendly,greenery,year_built,population_2016_,population_variation_between_2011_2016_,population_density_,unemployment_rate_2016_,"less_than_$50,000_(%)","between_$50,000_and_$80,000_(%)","between_$80,000_and_$100,000_(%)","between_$100,000_and_$150,000_(%)","more_than_$150,000_(%)",1-person_households_(%),2-person_households_(%),3-person_households_(%),4-person_households_(%),5-person_or_more_households_(%),couples_without_children_at_home_(%),couples_with_children_at_home_(%),single-parent_families_(%),owners_(%),renters_(%),before_1960_(%),between_1961_and_1980_(%),between_1981_and_1990_(%),between_1991_and_2000_(%),between_2001_and_2010_(%),between_2011_and_2016_(%),single-family_homes_(%),semi-detached_or_row_houses_(%),buildings_with_less_than_5_floors_(%),buildings_with_5_or_more_floors_(%),mobile_homes_(%),university_(%),college_(%),secondary_(high)_school_(%),apprentice_or_trade_school_diploma_(%),no_diploma_(%),non-immigrant_population_(%),immigrant_population_(%),french_(%),english_(%),others_languages_(%),walk_score,rooms,bedrooms,basement_bedroom,bathrooms,powder_rooms,total_area,new_area_from_price,new_area_from_rooms,river_proximity,has_pool,n_parking,has_garage,is_devided,mr_distance
2559,4176,Condo for sale,"2365, Avenue Beaconsfield, apt. 305, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",389000,45.46710699,-73.62190563,8.0,8.0,5.0,6.0,6.0,6.0,2.0,9.0,9.0,7,4.0,10.0,8.0,10.0,6.0,9.0,8.0,2015.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,78.0,6.0,2.0,False,1.0,0.0,614.0,614.0,614.0,False,False,1.0,True,1,4.558935744775074
2561,4178,Condo for sale,"2365, Avenue Beaconsfield, apt. 304, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",349000,45.46722737,-73.62195927,8.0,8.0,5.0,6.0,6.0,6.0,2.0,9.0,9.0,7,4.0,10.0,8.0,10.0,6.0,9.0,8.0,2015.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,78.0,6.0,2.0,False,1.0,0.0,615.0,615.0,615.0,False,False,0.0,False,1,4.548419514901988
2567,4188,Condo for sale,"2500, Avenue Pierre-Dupuy, apt. 806, Montréal (Ville-Marie), Neighbourhood Cité du Havre",1375000,45.497218,-73.544341,9.0,8.0,4.0,7.0,10.0,0.0,1.0,1.0,0.0,9,5.0,4.0,1.0,7.0,6.0,7.0,4.0,1989.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,5.0,9.0,3.0,False,2.0,1.0,2895.0,2895.0,2895.0,True,True,2.0,True,1,4.268818615137223
2568,4189,Condo for sale,"1581, Avenue du Docteur-Penfield, apt. 401, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",895000,45.497415,-73.585789,10.0,10.0,10.0,6.0,6.0,6.0,3.0,9.0,10.0,10,9.0,10.0,8.0,10.0,10.0,10.0,7.0,1900.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,84.0,5.0,2.0,False,2.0,0.0,1537.0,1537.0,1537.0,False,False,1.0,True,1,1.2457393346981678
2569,4190,Condo for sale,"3621, Rue University, apt. 10, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",519000,45.50726849,-73.57810295,10.0,10.0,10.0,9.0,6.0,7.0,5.0,10.0,10.0,10,10.0,9.0,8.0,10.0,10.0,10.0,7.0,1973.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,91.0,8.0,2.0,False,1.0,1.0,1175.0,1175.0,1175.0,False,False,1.0,True,1,1.5875623822427418
2570,4193,Condo for sale,"495, Avenue Viger Ouest, apt. 3401, Montréal (Ville-Marie), Neighbourhood Central West",3499000,45.50225219,-73.5631821,10.0,10.0,10.0,5.0,7.0,7.0,1.0,9.0,6.0,10,10.0,9.0,9.0,10.0,10.0,10.0,4.0,2014.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,95.0,11.0,3.0,False,2.0,1.0,2928.0,2928.0,2928.0,False,False,3.0,True,1,2.733603031092494
2571,4194,Condo for sale,"3001, Rue Sherbrooke Ouest, apt. 1101, Montréal (Ville-Marie), Neighbourhood Central West",895000,45.49121334,-73.58844849,10.0,10.0,9.0,5.0,7.0,6.0,0.0,8.0,8.0,10,9.0,9.0,10.0,10.0,10.0,10.0,7.0,1977.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,92.0,5.0,2.0,False,2.0,0.0,1360.0,1360.0,1360.0,False,False,2.0,True,1,1.663684225157398
2572,4195,Condo for sale,"1000, Rue de la Commune Est, apt. 524, Montréal (Ville-Marie), Neighbourhood Old Montréal",657000,45.51191785,-73.54891073,10.0,10.0,8.0,7.0,7.0,6.0,0.0,2.0,1.0,10,9.0,9.0,6.0,7.0,9.0,9.0,7.0,1920.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,77.0,7.0,1.0,False,1.0,0.0,987.0,987.0,987.0,False,True,1.0,True,1,3.9198473179546025
2573,4196,Condo for sale,"11115, boulevard Cavendish, apt. 1108, Montréal (Saint-Laurent), Neighbourhood Others",563000,45.50061272,-73.70283183,7.0,9.0,3.0,6.0,10.0,0.0,4.0,4.0,7.0,8,3.0,9.0,5.0,7.0,6.0,9.0,2.0,1990.0,98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,39.0,6.0,3.0,False,2.0,0.0,1292.0,1292.0,1292.0,False,True,3.0,True,1,8.173630956733069
2574,4197,Condo for sale,"1800, boulevard René-Lévesque Ouest, apt. 803, Montréal (Ville-Marie), Neighbourhood Central West",986000,45.49202606,-73.57644278,10.0,10.0,10.0,4.0,4.0,7.0,0.0,9.0,10.0,10,10.0,10.0,10.0,10.0,10.0,10.0,6.0,2017.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,94.0,13.0,3.0,False,2.0,1.0,1407.0,1407.0,1407.0,False,True,1.0,True,1,2.1890106152504436
2575,4198,Condo for sale,"4950, Rue de la Savane, apt. 408, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",314990,45.49989852,-73.65303339,7.0,9.0,4.0,4.0,9.0,0.0,6.0,7.0,5.0,9,3.0,8.0,10.0,8.0,5.0,8.0,4.0,2008.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,50.0,3.0,1.0,False,1.0,0.0,654.0,654.0,654.0,False,False,1.0,True,1,4.31211859499674
2576,4199,Condo for sale,"950, Rue Notre-Dame Ouest, apt. 529, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",349000,45.495939,-73.562681,10.0,10.0,10.0,9.0,5.0,6.0,4.0,10.0,5.0,10,10.0,10.0,10.0,10.0,10.0,10.0,3.0,2010.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,90.0,5.0,1.0,False,1.0,0.0,443.0,443.0,443.0,False,False,1.0,True,1,2.922352874862026
2577,4201,Condo for sale,"1050, Avenue Amesbury, apt. 624, Montréal (Ville-Marie), Neighbourhood Central West",349000,45.49219,-73.575217,10.0,10.0,10.0,4.0,4.0,7.0,0.0,8.0,10.0,10,10.0,9.0,9.0,10.0,10.0,10.0,5.0,1987.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,90.0,3.0,1.0,False,1.0,0.0,523.0,523.0,523.0,False,False,0.0,False,1,2.2523328287929547
2578,4204,Condo for sale,"3445, Rue Drummond, apt. 402, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",482000,45.501343,-73.579464,10.0,10.0,10.0,6.0,5.0,7.0,2.0,8.0,8.0,9,10.0,9.0,8.0,10.0,10.0,10.0,7.0,1958.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,93.0,8.0,2.0,False,1.0,1.0,931.0,931.0,931.0,False,True,0.0,False,1,1.4959945451035246
2579,4207,Condo for sale,"3832, Avenue Girouard, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",599000,45.474421,-73.616643,9.0,9.0,5.0,3.0,7.0,6.0,4.0,10.0,9.0,10,4.0,10.0,9.0,10.0,7.0,9.0,7.0,1925.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,85.0,6.0,3.0,False,1.0,0.0,1864.0,1864.0,1864.0,False,False,1.0,True,0,3.649311163614677
2580,4208,Condo for sale,"5094, Rue Fabre, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",369000,45.53444812,-73.58267705,10.0,10.0,10.0,10.0,4.0,6.0,4.0,10.0,5.0,10,9.0,10.0,10.0,10.0,9.0,9.0,7.0,1920.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,87.0,3.0,1.0,False,1.0,0.0,471.0,471.0,471.0,False,False,0.0,False,1,3.534384023477686
2581,4212,Condo for sale,"100, Avenue des Sommets, apt. 904, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",759000,45.450966,-73.548955,3.0,3.0,1.0,7.0,9.0,0.0,9.0,8.0,0.0,9,0.0,2.0,5.0,3.0,1.0,5.0,6.0,2002.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,17.0,5.0,2.0,False,2.0,0.0,1383.0,1383.0,1383.0,False,True,2.0,True,1,7.084840587064283
2582,4213,Condo for sale,"210, Chemin du Golf, apt. 310, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",583000,45.46771937,-73.54689292,6.0,6.0,3.0,9.0,10.0,0.0,5.0,3.0,4.0,9,3.0,9.0,9.0,8.0,6.0,7.0,6.0,2004.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,59.0,5.0,2.0,False,2.0,0.0,1094.0,1094.0,1094.0,False,True,2.0,True,1,5.719838700850517
2583,4217,Condo for sale,"5399, Avenue Bourret, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",489000,45.486462,-73.640873,8.0,8.0,5.0,4.0,6.0,3.0,8.0,9.0,7.0,8,4.0,10.0,10.0,9.0,5.0,9.0,9.0,1931.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,63.0,7.0,4.0,False,1.0,0.0,1175.0,1175.0,1175.0,False,False,0.0,False,1,3.89373472528379
2584,4220,Condo for sale,"1280, Rue Sherbrooke Ouest, apt. 940, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",3400000,45.49983191,-73.57843741,10.0,10.0,10.0,7.0,6.0,7.0,0.0,8.0,9.0,9,10.0,9.0,9.0,10.0,10.0,10.0,4.0,1910.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,97.0,8.0,3.0,False,3.0,1.0,2525.0,2525.0,2525.0,False,True,2.0,True,1,1.6202591559498998
2585,4222,Condo for sale,"1509, Rue Sherbrooke Ouest, apt. 11A, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",675000,45.497125,-73.581627,10.0,10.0,10.0,6.0,6.0,7.0,1.0,8.0,10.0,10,10.0,10.0,8.0,10.0,10.0,10.0,6.0,1907.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,98.0,5.0,2.0,False,2.0,0.0,1815.0,1815.0,1815.0,False,False,1.0,True,0,1.5270886038895564
2586,4223,Condo for sale,"2412A, Rue Knox, Montréal (Le Sud-Ouest), Neighbourhood Pointe-Saint-Charles",245000,45.477428,-73.563804,10.0,9.0,5.0,9.0,6.0,6.0,4.0,8.0,8.0,8,6.0,10.0,4.0,9.0,7.0,9.0,7.0,1917.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,68.0,4.0,1.0,False,1.0,0.0,453.0,453.0,453.0,False,False,0.0,False,0,4.03094450133876
2587,4224,Condo for sale,"1155, Rue de la Montagne, apt. 311, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",549000,45.496628,-73.572402,10.0,10.0,10.0,4.0,6.0,7.0,0.0,6.0,8.0,10,10.0,10.0,8.0,10.0,10.0,10.0,5.0,2016.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,97.0,3.0,1.0,False,1.0,0.0,714.0,714.0,714.0,False,False,0.0,False,1,2.188575315752039
2588,4225,Condo for sale,"701, Rue Irène, apt. 110, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne",1520000,45.48027359,-73.58393954,10.0,10.0,8.0,7.0,5.0,6.0,5.0,9.0,10.0,10,7.0,10.0,10.0,10.0,8.0,10.0,7.0,2012.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,83.0,15.0,3.0,False,3.0,1.0,3262.0,3262.0,3262.0,False,True,2.0,True,1,2.917200031704054
