,PC_neighborhood_1,PC_neighborhood_2,PC_neighborhood_3,PC_neighborhood_4,PC_neighborhood_5,PC_neighborhood_6,PC_neighborhood_7,PC_neighborhood_8,PC_demographics_1,PC_demographics_2,Price,walk_score,Condo age,Percent difference,Cluster,Index,Exponential difference,lat,long,Neighborhood growth (%),Population density,Unemployment rate
0,0.8712668145316428,-1.8097704353435458,-0.7100853929938975,-0.8269845015665553,-0.3141381856432103,0.5837771595385836,1.2973054681366105,0.2900802491679475,0.968557062886033,1.3741779733087174,409000,80.0,12.0,8.182594743276256,1,0,4896.671455415784,45.456079,-73.575949,5,7181,8
1,9.043030874473281,0.5633207730860156,-1.8425653159787128,-0.7240016120753353,1.389165574548489,-1.5240481551638678,0.8973006865632062,-0.4198539855304011,0.9685570628860307,1.3741779733087618,680000,11.0,14.0,4.362270220588183,4,1,4376.602591422853,45.449347,-73.553327,5,7181,8
2,1.0510515863654726,0.49612160065314204,2.2958168345874634,0.3888502863067062,-1.0630196737326074,-0.007127820932301954,-0.01864075286886362,-1.268404276257551,2.3674329967933705,0.1582014848233006,283000,72.0,13.0,24.982895318021157,5,2,7530.164634576801,45.53658924,-73.64658957,6,5545,10
3,-1.6998635756906437,0.4295015386993911,-1.7027953662475335,-0.21626662055251186,-0.4518904654925374,0.3419240670810718,-0.19190864868703558,0.5642104162071149,1.3243749927636823,-0.8433364775079661,339000,70.0,7.0,13.268058628318515,5,3,5634.256484120795,45.490915,-73.56077900000003,9,5070,8
4,4.682798449878144,1.4586928792907579,0.385971527258758,1.5649137446452368,-1.7797839703293457,0.06316643557578297,-0.43404516262596304,0.14958362683655158,4.6399840733208135,-0.6798079218982083,177800,53.0,27.0,5.549151082677198,7,4,4535.049611641688,45.606186,-73.588353,2,3103,10
5,-2.304672528991553,0.8189151446554035,-1.1917424114887425,-1.1986055646380687,0.021887902854522794,0.8339006327644642,0.5423596494661651,-0.7461927643808309,1.3243749927636823,-0.8433364775079659,365000,83.0,6.0,-0.2389897260273335,5,5,3788.9732344215645,45.494718,-73.55867099999998,9,5070,8
6,-1.4639352210312166,-1.184144128275238,-0.558420466699026,-0.5914765356574305,-0.4759893100451454,0.5742561216564996,0.5822847928683312,0.5920980050364554,1.3519981705736757,-3.6825653829896647,389000,85.0,10.0,-10.668621465295718,5,6,2613.766078374961,45.54565671,-73.62419113,1,8692,11
7,0.9393361306069197,-1.2994589826015193,-1.189488167537395,-0.6930416560701184,0.5300021109720946,1.01671770407829,0.8012434538089963,-0.22824141722480992,0.9685570628860304,1.3741779733087736,429000,71.0,90.0,16.812907925407895,1,7,6178.987159931877,45.45288237,-73.56885866,5,7181,8
8,2.793265128279933,0.01114288542136553,-0.34643121988056946,1.4617219363476432,0.5749393589094357,-0.14734633113089945,1.101663126221696,-0.3823768993243575,1.3243749927636823,-0.8433364775079659,139000,50.0,65.0,29.30189973021581,7,8,8298.394789714213,45.44806335,-73.60140104,9,5070,8
9,-2.0361719669881198,1.123025327364178,-1.5271633697241307,0.5365905258059788,0.030586753184203692,-0.09631656036960624,-1.046553993351194,1.3856796596344343,-3.1530232803618263,0.026145420855424192,315000,89.0,7.0,18.09735119047614,0,9,6382.568220356016,45.512515,-73.556237,6,6414,10
10,-2.6163983013686973,0.8075278260485691,0.4427300385945475,-0.50551600626868,0.19443878557659455,0.08935181468552415,-0.1867848630087956,0.7535215174105282,-3.1530232803618263,0.026145420855424192,360000,98.0,11.0,-17.090789930555587,0,10,1998.343543646724,45.50463,-73.566429,6,6414,10
11,2.512371830328479,0.7281443171675479,1.2007871137493638,-0.3214149397911216,-1.6207747941993194,-0.19143586357741288,0.32064047749119584,-1.0237816719338313,4.306618317406547,-2.3489490517323013,988000,64.0,9.0,5.2790485829959986,7,11,4498.743662205423,45.58408,-73.584876,3,5813,11
12,1.7630970117521365,-1.4479229286339472,1.430843934228697,1.0194715993080847,-0.22181952500709667,-1.184110332194378,-0.5136881791706629,-0.04126869170470338,-0.09203431494701692,-0.35522159320894187,748000,45.0,91.0,14.795137032085545,1,12,5865.838607356985,45.48611086,-73.61922813,1,7718,11
13,6.358146797069114,3.060893145514869,-0.8602273372824609,0.549797033887681,-1.09973434254833,-0.7291824454168113,-0.39340313340897065,1.0391098829892904,0.9685570628860304,1.3741779733087736,528000,35.0,6.0,11.665767045454569,4,13,5396.282411808988,45.47305019,-73.53844783,5,7181,8
14,-2.6589495070913847,-0.25324184577449793,-0.3648279088954257,0.2746830249351772,1.0855813691347829,0.5336051212139862,-0.04125967588850165,-0.7215701242893895,-2.4543138853441238,1.1250339486150276,450000,90.0,3.0,13.400263888888903,6,14,5654.1210614753645,45.534439,-73.577269,4,12855,8
15,-2.8439123504290724,-1.0155147579427317,-1.2572645836157537,-0.7928786347739132,0.008419190166335825,-0.4872262287348141,0.20068176559191966,0.20867341999291816,-2.4543138853441238,1.1250339486150276,549000,96.0,68.0,-9.11797017304198,6,15,2774.7247061892026,45.518902,-73.581446,4,12855,8
16,-2.17267726489899,-0.36578788450496513,-0.9252986393913983,0.0501704981823352,-0.9073188230937647,-0.5125395731482226,1.0008212216862367,-0.6279609972589668,-3.1530232803618263,0.026145420855424192,434800,85.0,13.0,-4.877688017479274,6,16,3239.4239849650535,45.5267,-73.549646,6,6414,10
17,-1.8817959659267414,2.066041956740183,-0.9941007509497471,1.2936823890991103,1.2646110084305828,0.9986564595481486,-1.5947204592651658,0.658500129680079,-3.1530232803618263,0.026145420855424192,929000,83.0,6.0,-18.23569698600641,0,17,1897.293171213837,45.51090604,-73.55039425,6,6414,10
