,0
restaurants,8.564821303433778
vibrant,7.092852137351086
cycling_friendly,6.914505956552207
car_friendly,6.163279607568325
historic,4.764190609670638
quiet,4.246320953048353
parks,9.27540294323756
groceries,9.088297126839523
cafes,7.787666433076384
transit_friendly,8.678696566222845
greenery,5.172740014015417
year_built,1990.3149964961458
walk_score,73.43833216538192
bedrooms,1.9639103013314647
bathrooms,1.3489838822704976
powder_rooms,0.13594954449894883
total_area,1047.1478626489138
mr_distance,4.922284232298797
