,address,lat,long,price,total_area,restaurants,vibrant,cycling_friendly,historic,parks,groceries,pedestrian_friendly,transit_friendly,greenery,year_built,unemployment_rate_2016_,bathrooms,powder_rooms,river_proximity,has_pool,has_garage
43,"4118, Avenue du Parc-La Fontaine, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",45.52496926,-73.57342174,838000,1724.0,10.0,10.0,10.0,7.0,10,9.0,10.0,9.0,10.0,1900.0,8,2.0,0.0,False,False,True
44,"950, Rue Notre-Dame Ouest, apt. 628, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",45.496512,-73.56167,375000,513.0,10.0,10.0,8.0,6.0,10,10.0,10.0,10.0,3.0,2010.0,8,1.0,0.0,False,False,True
45,"2385, Rue des Équinoxes, apt. 508, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc",45.51887022,-73.71077415,488000,830.0,6.0,2.0,4.0,2.0,6,9.0,6.0,7.0,3.0,2017.0,10,2.0,0.0,False,True,True
46,"2300, Rue Wilfrid-Reid, apt. 404, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc",45.51804937,-73.71193448,608000,1054.0,6.0,2.0,4.0,2.0,6,9.0,6.0,7.0,3.0,2019.0,10,2.0,0.0,False,False,True
47,"2555, Rue Grenet, apt. 210, Montréal (Saint-Laurent), Neighbourhood Others",45.52261936,-73.7046512,299000,687.0,6.0,3.0,4.0,2.0,8,8.0,8.0,9.0,5.0,2011.0,10,1.0,0.0,False,False,True
48,"5231, Rue Riviera, apt. 303, Montréal (Pierrefonds-Roxboro), Neighbourhood Pierrefonds/Central East",45.51509,-73.827906,227000,939.0,4.0,1.0,5.0,0.0,9,6.0,4.0,4.0,6.0,1987.0,8,1.0,0.0,False,False,False
49,"4805A, Avenue Victoria, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",45.4862473,-73.61941796,449000,848.0,9.0,5.0,3.0,4.0,8,7.0,8.0,9.0,8.0,1931.0,11,1.0,0.0,False,False,False
50,"836, 7e Avenue, apt. 002, Montréal (Rivière-des-Prairies/Pointe-aux-Trembles), Neighbourhood Pointe-aux-Trembles",45.63856956,-73.49664083,189995,611.0,4.0,3.0,8.0,3.0,6,7.0,5.0,4.0,5.0,2013.0,7,1.0,0.0,False,False,False
51,"1170, Rue Berri, apt. 35, Montréal (Ville-Marie), Neighbourhood Central",45.51413551,-73.55890409,449900,612.0,10.0,10.0,9.0,7.0,10,10.0,10.0,10.0,4.0,1987.0,10,1.0,0.0,False,False,False
52,"441, Avenue du Président-Kennedy, apt. 1101, Montréal (Ville-Marie), Neighbourhood Central",45.506778,-73.570528,399000,818.0,10.0,10.0,8.0,7.0,10,10.0,10.0,10.0,5.0,2007.0,10,2.0,0.0,False,False,False
53,"6340, 21e Avenue, apt. 201, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Rosemont North",45.561063,-73.578517,399700,1042.0,8.0,5.0,7.0,4.0,9,10.0,10.0,9.0,5.0,2004.0,8,1.0,0.0,False,False,True
54,"2372, Avenue de Hampton, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",45.467887,-73.62003008,325000,1288.0,8.0,5.0,6.0,6.0,8,10.0,10.0,9.0,9.0,1924.0,11,2.0,1.0,False,False,False
55,"555, boulevard René-Lévesque Est, apt. 803, Montréal (Ville-Marie), Neighbourhood Central",45.51437,-73.556781,379000,636.0,10.0,10.0,9.0,7.0,10,10.0,10.0,10.0,4.0,2010.0,10,1.0,0.0,False,True,False
56,"412, Rue Saint-Claude, apt. 307, Montréal (Ville-Marie), Neighbourhood Old Montréal",45.50860925,-73.55221964,995000,1704.0,10.0,10.0,8.0,9.0,10,10.0,10.0,10.0,4.0,1999.0,10,2.0,0.0,False,False,True
57,"1150, Rue Saint-Denis, apt. 512, Montréal (Ville-Marie), Neighbourhood Central",45.51279792,-73.55850935,369000,538.0,10.0,10.0,9.0,7.0,10,10.0,10.0,10.0,3.0,2013.0,10,1.0,0.0,False,False,False
58,"2000, boulevard René-Lévesque Ouest, apt. 405, Montréal (Ville-Marie), Neighbourhood Central West",45.489532,-73.578687,515888,638.0,10.0,10.0,4.0,7.0,10,9.0,9.0,10.0,7.0,2019.0,10,1.0,0.0,False,True,False
59,"733, Rue Argyle, apt. 6, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",45.452986,-73.574416,460000,914.0,7.0,5.0,9.0,5.0,10,9.0,10.0,8.0,5.0,2019.0,8,1.0,0.0,False,False,False
60,"4595, Rue de Mentana, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",45.527863,-73.581948,549000,1008.0,10.0,10.0,10.0,7.0,10,10.0,10.0,10.0,9.0,1910.0,8,1.0,0.0,False,False,False
61,"6803, 25e Avenue, apt. 6, Montréal (Rosemont/La Petite-Patrie), Neighbourhood New Rosemont",45.566326,-73.583963,275000,640.0,8.0,5.0,7.0,3.0,8,10.0,10.0,8.0,6.0,2014.0,8,1.0,0.0,False,False,False
62,"485, Rue Brault, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",45.447904,-73.572205,399000,816.0,6.0,4.0,9.0,5.0,10,8.0,9.0,7.0,7.0,1997.0,8,1.0,1.0,False,False,True
63,"2204, Rue Harmony, Montréal (Ville-Marie), Neighbourhood Central",45.531297,-73.558324,779000,1600.0,10.0,10.0,10.0,7.0,10,10.0,10.0,9.0,6.0,1900.0,10,1.0,0.0,False,False,False
64,"88, Rue Gary-Carter, apt. 116, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray",45.535617,-73.621912,362000,398.0,10.0,8.0,9.0,6.0,10,9.0,10.0,10.0,5.0,2017.0,11,1.0,0.0,False,False,False
65,"2484, Rue Marie-Anne Est, apt. 4, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",45.53798509,-73.56664034,369000,517.0,10.0,9.0,9.0,6.0,10,10.0,10.0,9.0,5.0,2019.0,8,1.0,0.0,False,False,False
66,"299, Rue de la Rotonde, apt. 1109, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",45.47299,-73.538362,592000,851.0,6.0,3.0,5.0,0.0,8,6.0,5.0,6.0,3.0,2014.0,8,2.0,0.0,True,True,True
67,"2000, boulevard René-Lévesque Ouest, apt. 1402, Montréal (Ville-Marie), Neighbourhood Central",45.48944174,-73.57894449,819000,974.0,10.0,10.0,4.0,7.0,10,9.0,9.0,10.0,7.0,2019.0,10,2.0,0.0,False,True,True
68,"1188, Rue Saint-Antoine Ouest, apt. 1105, Montréal (Ville-Marie), Neighbourhood Central",45.49576785,-73.56758125,459000,530.0,10.0,10.0,6.0,6.0,10,9.0,10.0,10.0,5.0,2019.0,10,1.0,0.0,False,True,False
69,"4755, boulevard Métropolitain Est, apt. 608, Montréal (Saint-Léonard)",45.577863,-73.594171,319900,883.0,7.0,5.0,5.0,2.0,7,10.0,8.0,8.0,4.0,2014.0,11,1.0,0.0,False,False,True
70,"2750, boulevard de la Côte-Vertu, apt. 804, Montréal (Saint-Laurent), Neighbourhood Saint-Laurent West",45.501231,-73.698478,419000,1192.0,6.0,3.0,5.0,0.0,6,8.0,7.0,7.0,4.0,1993.0,10,2.0,0.0,False,True,True
71,"542, Rue De La Noue, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",45.462004,-73.550518,465000,1067.0,5.0,2.0,8.0,0.0,8,9.0,5.0,5.0,9.0,1988.0,8,1.0,0.0,False,False,True
72,"1800, boulevard Angrignon, apt. 711, Montréal (LaSalle)",45.44704177,-73.60887055,485000,967.0,7.0,4.0,5.0,2.0,10,9.0,7.0,10.0,5.0,2013.0,10,2.0,0.0,False,True,True
73,"109, Rue Charlotte, apt. 506, Montréal (Ville-Marie), Neighbourhood Central",45.510464,-73.561933,499000,794.0,10.0,10.0,8.0,7.0,10,10.0,10.0,10.0,3.0,2011.0,10,1.0,0.0,False,False,True
74,"7639, Avenue Léonard-De Vinci, apt. 6, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Saint-Michel",45.5660642,-73.60014607,274000,693.0,8.0,5.0,5.0,2.0,10,10.0,9.0,9.0,4.0,2011.0,11,1.0,0.0,False,False,False
