,index,title,address,price,lat,long,restaurants,shopping,vibrant,cycling_friendly,car_friendly,historic,quiet,elementary_schools,high_schools,parks,nightlife,groceries,daycares,pedestrian_friendly,cafes,transit_friendly,greenery,year_built,population_2016_,population_variation_between_2011_2016_,population_density_,unemployment_rate_2016_,"less_than_$50,000_(%)","between_$50,000_and_$80,000_(%)","between_$80,000_and_$100,000_(%)","between_$100,000_and_$150,000_(%)","more_than_$150,000_(%)",1-person_households_(%),2-person_households_(%),3-person_households_(%),4-person_households_(%),5-person_or_more_households_(%),couples_without_children_at_home_(%),couples_with_children_at_home_(%),single-parent_families_(%),owners_(%),renters_(%),before_1960_(%),between_1961_and_1980_(%),between_1981_and_1990_(%),between_1991_and_2000_(%),between_2001_and_2010_(%),between_2011_and_2016_(%),single-family_homes_(%),semi-detached_or_row_houses_(%),buildings_with_less_than_5_floors_(%),buildings_with_5_or_more_floors_(%),mobile_homes_(%),university_(%),college_(%),secondary_(high)_school_(%),apprentice_or_trade_school_diploma_(%),no_diploma_(%),non-immigrant_population_(%),immigrant_population_(%),french_(%),english_(%),others_languages_(%),walk_score,rooms,bedrooms,basement_bedroom,bathrooms,powder_rooms,total_area,new_area_from_price,new_area_from_rooms,river_proximity,has_pool,n_parking,has_garage,mr_distance
448,804,Condo for sale,"1310, boulevard René-Lévesque Ouest, apt. 904, Montréal (Ville-Marie), Neighbourhood Central",849999,45.4966844,-73.57183874,10.0,10.0,10.0,4.0,6.0,7.0,0.0,7.0,8.0,10,10.0,10.0,8.0,10.0,10.0,10.0,3.0,2018.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,97.0,6.0,2.0,False,2.0,0.0,990.0,990.0,990.0,False,False,0.0,False,2.226350147807642
449,806,Condo for sale,"1606, Rue Ottawa, apt. 309, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",389000,45.489317,-73.563494,10.0,10.0,8.0,9.0,6.0,6.0,6.0,8.0,5.0,8,10.0,9.0,8.0,10.0,10.0,9.0,5.0,2019.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,70.0,4.0,1.0,False,1.0,0.0,702.0,702.0,702.0,False,False,0.0,False,3.185681190136839
450,809,Condo for sale,"1449, Rue Saint-Alexandre, apt. 409, Montréal (Ville-Marie), Neighbourhood Central",299900,45.505946,-73.568619,10.0,10.0,10.0,7.0,5.0,7.0,2.0,8.0,8.0,10,10.0,10.0,10.0,10.0,10.0,10.0,5.0,1928.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,99.0,3.0,1.0,False,1.0,0.0,580.0,580.0,580.0,False,False,0.0,False,2.302959413594609
451,812,Condo for sale,"4700, boulevard Henri-Bourassa Ouest, apt. 516, Montréal (Saint-Laurent), Neighbourhood Others",335000,45.52302907,-73.70508676,6.0,7.0,4.0,4.0,9.0,2.0,3.0,10.0,7.0,8,3.0,9.0,10.0,8.0,5.0,9.0,5.0,2012.0,98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,51.0,8.0,2.0,False,1.0,0.0,770.0,770.0,770.0,False,True,1.0,True,8.585258578289332
452,814,Condo for sale,"1200, Rue Saint-Alexandre, apt. 523, Montréal (Ville-Marie), Neighbourhood Central West",395000,45.50463,-73.566429,10.0,10.0,10.0,6.0,5.0,7.0,3.0,7.0,7.0,10,10.0,10.0,10.0,10.0,10.0,10.0,4.0,2009.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,98.0,3.0,1.0,False,1.0,0.0,490.0,490.0,490.0,False,False,0.0,False,2.468483949975715
453,816,Condo for sale,"4300, Rue Saint-Ambroise, apt. 214, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne",609000,45.47304953,-73.5815172,10.0,10.0,5.0,10.0,6.0,6.0,8.0,8.0,7.0,10,6.0,10.0,4.0,10.0,7.0,9.0,5.0,2004.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,72.0,6.0,2.0,False,1.0,0.0,917.0,917.0,917.0,False,True,1.0,True,3.7344524423830774
454,817,Condo for sale,"3583, boulevard Rosemont, apt. 1, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Rosemont North",209900,45.55622098,-73.57783059,9.0,9.0,7.0,8.0,7.0,5.0,4.0,10.0,10.0,10,6.0,10.0,9.0,10.0,7.0,9.0,6.0,1957.0,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,71.0,5.0,2.0,False,1.0,0.0,717.0,717.0,717.0,False,False,0.0,False,5.957877527302631
455,818,Condo for sale,"1869, Rue des Bassins, apt. 305, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",598000,45.48659733,-73.56700416,10.0,10.0,8.0,9.0,6.0,6.0,7.0,10.0,4.0,10,10.0,8.0,8.0,10.0,9.0,9.0,4.0,2014.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,72.0,7.0,2.0,False,1.0,1.0,816.0,816.0,816.0,False,False,1.0,True,3.140709342910452
456,819,Condo for sale,"2256, boulevard Lapointe, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier",389000,45.59662764,-73.52068722,6.0,6.0,3.0,6.0,7.0,3.0,3.0,9.0,10.0,7,4.0,8.0,6.0,7.0,5.0,7.0,6.0,2015.0,136024,3,5347,9,52,24,9,11,5,45,32,12,8,4,42,35,23,34,66,43,31,10,5,7,4,5,5,86,4,0,29,17,21,14,20,79,21,85.0,5.0,10.0,60.0,5.0,2.0,False,1.0,0.0,1161.0,1161.0,1161.0,False,False,1.0,False,11.880743849637634
457,823,Condo for sale,"1800, boulevard René-Lévesque Ouest, apt. 611, Montréal (Ville-Marie), Neighbourhood Central West",685000,45.491055,-73.576818,10.0,10.0,10.0,4.0,5.0,7.0,0.0,9.0,10.0,10,10.0,10.0,10.0,9.0,10.0,10.0,7.0,2018.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,87.0,5.0,2.0,False,1.0,0.0,839.0,839.0,839.0,False,True,1.0,True,2.2375183894349333
458,825,Condo for sale,"5295, 16e Avenue, apt. 8, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Old Rosemont",339800,45.55435,-73.569766,9.0,9.0,7.0,8.0,5.0,4.0,7.0,10.0,8.0,9,6.0,10.0,9.0,10.0,6.0,8.0,8.0,1987.0,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,78.0,6.0,2.0,False,0.0,0.0,758.0,758.0,758.0,False,False,1.0,False,5.9605496786678716
459,827,Condo for sale,"4510, Avenue Girouard, apt. 1, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",535000,45.478311,-73.625479,9.0,9.0,5.0,4.0,5.0,6.0,4.0,10.0,10.0,10,4.0,10.0,8.0,10.0,6.0,9.0,6.0,1929.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,80.0,6.0,3.0,False,1.0,0.0,1000.0,1000.0,1000.0,False,False,1.0,True,3.615323939285304
460,828,Condo for sale,"1010, Rue William, apt. 510, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",419000,45.495347,-73.559857,10.0,10.0,10.0,9.0,4.0,6.0,4.0,10.0,3.0,9,9.0,10.0,8.0,10.0,10.0,10.0,4.0,2012.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,84.0,3.0,1.0,False,1.0,0.0,575.0,575.0,575.0,False,True,1.0,True,3.151894351177739
461,831,Condo for sale,"471, Rue Hélène-Baillargeon, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",479000,45.53041625,-73.59483544,10.0,10.0,9.0,10.0,4.0,5.0,1.0,8.0,7.0,10,9.0,9.0,8.0,7.0,10.0,9.0,4.0,2003.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,81.0,8.0,2.0,False,1.0,0.0,977.0,977.0,977.0,False,False,1.0,False,2.886672693255664
462,832,Condo for sale,"700, Rue Saint-Paul Ouest, apt. 710, Montréal (Ville-Marie), Neighbourhood La Cité du Multimédia",399000,45.49886508,-73.55845473,10.0,10.0,10.0,7.0,4.0,9.0,0.0,10.0,4.0,8,10.0,9.0,10.0,10.0,10.0,10.0,6.0,2020.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,91.0,4.0,1.0,False,1.0,0.0,509.0,509.0,509.0,False,True,0.0,False,3.154224260305712
463,833,Condo for sale,"366, Rue Mayor, apt. 404, Montréal (Ville-Marie), Neighbourhood Central",299000,45.506408,-73.568248,10.0,10.0,10.0,7.0,5.0,7.0,3.0,8.0,8.0,10,10.0,10.0,9.0,10.0,10.0,10.0,3.0,1921.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,98.0,3.0,1.0,False,1.0,0.0,423.0,423.0,423.0,False,False,0.0,False,2.3357629511815046
464,835,Condo for sale,"888, Rue Wellington, apt. 601, Montréal (Ville-Marie), Neighbourhood La Cité du Multimédia",429000,45.494753,-73.555578,10.0,10.0,9.0,9.0,5.0,6.0,0.0,8.0,2.0,10,9.0,10.0,9.0,9.0,10.0,10.0,7.0,2014.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,81.0,4.0,1.0,False,1.0,0.0,509.0,509.0,509.0,False,True,1.0,True,3.489073934740238
465,839,Condo for sale,"2220, Rue Notre-Dame Ouest, apt. 301, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne",399000,45.48480813,-73.57173617,10.0,10.0,8.0,9.0,5.0,6.0,5.0,9.0,6.0,10,8.0,9.0,9.0,10.0,9.0,9.0,8.0,1989.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,78.0,5.0,2.0,False,1.0,0.0,756.0,756.0,756.0,False,False,1.0,False,3.007707853751948
466,840,Condo for sale,"414, 8e Avenue, Montréal (LaSalle)",375000,45.429983,-73.606061,5.0,6.0,3.0,8.0,6.0,2.0,8.0,9.0,9.0,9,3.0,9.0,4.0,6.0,5.0,6.0,6.0,2005.0,76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,57.0,7.0,2.0,False,1.0,0.0,1065.0,1065.0,1065.0,False,False,0.0,False,8.315434415437057
467,841,Condo for sale,"5115, boulevard de l'Assomption, apt. 605, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Cité-Jardin",439000,45.572465,-73.557246,7.0,7.0,4.0,5.0,10.0,2.0,6.0,8.0,10.0,10,3.0,8.0,6.0,8.0,6.0,8.0,8.0,1990.0,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,49.0,5.0,2.0,False,1.0,1.0,1082.0,1082.0,1082.0,False,True,1.0,True,8.194164521659257
468,842,Condo for sale,"1431Z, Avenue Aird, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Hochelaga-Maisonneuve",189000,45.554201,-73.532595,6.0,6.0,5.0,10.0,6.0,6.0,7.0,10.0,9.0,8,5.0,9.0,10.0,10.0,5.0,7.0,8.0,1924.0,136024,3,5347,9,52,24,9,11,5,45,32,12,8,4,42,35,23,34,66,43,31,10,5,7,4,5,5,86,4,0,29,17,21,14,20,79,21,85.0,5.0,10.0,70.0,4.0,1.0,False,1.0,0.0,630.0,630.0,630.0,False,False,0.0,False,7.517461793353104
469,843,Condo for sale,"7227, Rue Marconi, apt. 202, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray",429900,45.53247,-73.622219,10.0,10.0,8.0,9.0,5.0,5.0,4.0,8.0,4.0,10,7.0,10.0,9.0,10.0,9.0,9.0,4.0,2014.0,143853,1,8692,11,58,23,8,8,3,40,29,14,11,7,33,42,25,28,72,49,33,6,4,4,3,3,2,91,4,0,29,14,20,11,26,56,44,57.0,10.0,33.0,87.0,7.0,2.0,False,1.0,0.0,747.0,747.0,747.0,False,False,0.0,False,3.6281589196459056
470,845,Condo for sale,"4211, Rue de Rouen, apt. 216, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Hochelaga-Maisonneuve",429000,45.55253851,-73.54453454,7.0,7.0,5.0,9.0,6.0,6.0,4.0,10.0,10.0,10,5.0,9.0,8.0,10.0,6.0,9.0,7.0,1908.0,136024,3,5347,9,52,24,9,11,5,45,32,12,8,4,42,35,23,34,66,43,31,10,5,7,4,5,5,86,4,0,29,17,21,14,20,79,21,85.0,5.0,10.0,84.0,8.0,3.0,False,1.0,0.0,1012.0,1012.0,1012.0,False,False,1.0,True,6.773402574512717
471,846,Condo for sale,"213, Rue Villeneuve Ouest, Montréal (Le Plateau-Mont-Royal), Neighbourhood Mile-End",569000,45.519214,-73.591138,10.0,10.0,10.0,10.0,2.0,7.0,7.0,10.0,10.0,10,10.0,10.0,10.0,10.0,10.0,9.0,7.0,1910.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,96.0,6.0,3.0,False,1.0,0.0,1107.0,1107.0,1107.0,False,False,0.0,False,1.7177968730666122
