,Actual,Predicted
0,589000.0,533523.7998305786
1,742000.0,610119.9606395175
2,445000.0,500104.5392962645
3,436000.0,350692.83124167926
4,875000.0,830553.5143344302
5,375000.0,317441.029510843
6,725000.0,656017.6654294638
7,469900.0,358986.8319774311
8,499000.0,467861.4229861768
9,499000.0,472703.73498389905
10,549000.0,518374.1700318126
11,449950.0,527381.1424021736
12,499000.0,504685.66771750746
13,398000.0,395020.83257272746
14,685000.0,579705.4948439909
15,649000.0,596117.6103705221
16,725000.0,596138.9357401407
17,449000.0,485874.56191108015
18,334900.0,475715.4332905384
19,350000.0,396759.9207044076
20,204500.0,289088.9503706284
21,295000.0,358754.24684877123
22,649000.0,713610.7240210404
23,389000.0,231851.22203326132
24,599000.0,691228.4994118102
25,319000.0,248637.51149689336
26,679000.0,684608.4586396969
27,458000.0,551647.3912855264
28,619000.0,560253.8679780604
29,429000.0,455303.4581434623
30,309000.0,509250.0362951172
31,689000.0,604679.3153689981
32,219000.0,256817.91110159352
33,799000.0,615391.3895992674
34,635000.0,475576.13989892474
35,985000.0,760822.1607036663
36,399000.0,496831.2741788153
37,386000.0,362762.1735410802
38,249000.0,256592.55106325925
39,425000.0,361438.34319345956
40,365000.0,326615.36355478864
41,625000.0,750557.996458488
42,310000.0,572561.0469971774
43,399000.0,617528.4079075856
44,499000.0,593528.2666793026
45,219000.0,247012.51781383634
46,425000.0,403196.3264995762
47,179900.0,161736.51416228875
48,283000.0,283745.13242272555
49,399000.0,338874.91191056534
50,795000.0,803055.6267694344
51,479000.0,494952.46408098703
52,349900.0,324956.7237715705
53,395000.0,414171.4256272906
54,449900.0,569651.2574209401
55,394800.0,396297.33273519424
56,489800.0,480866.4925469742
57,650000.0,677998.400689062
58,528000.0,646565.208823882
59,1034000.0,757335.961809085
60,462000.0,484437.46532054595
61,429000.0,495558.4087208515
62,824000.0,748137.2902412976
63,376000.0,334404.2382562746
64,460000.0,401973.8341050936
65,519000.0,530492.3151578837
66,998000.0,670415.4422064594
67,419000.0,473608.4300755246
68,645000.0,668588.6028731589
69,565000.0,501917.7268883905
70,449000.0,501493.0640400639
71,698000.0,564346.4973339023
72,439000.0,524518.5867933799
73,499000.0,546459.5462869745
74,699000.0,796070.3300939896
75,599000.0,394585.6603977063
76,289900.0,298871.16834786464
77,439900.0,452752.33300687093
78,239000.0,266505.61349189596
79,478000.0,458256.07022436336
80,358700.0,384624.45961818076
81,658000.0,626157.0279762777
82,479900.0,493563.88093403913
83,419000.0,529006.745510187
84,439000.0,443878.58701236
85,239900.0,335910.4410567259
86,375000.0,455085.1960152794
87,995000.0,905558.6627322542
88,479000.0,413145.36129575677
89,375000.0,443273.83182137704
90,619000.0,589756.3576292498
91,395000.0,418728.5605415037
92,499000.0,519555.06849097833
93,549000.0,547133.420450428
94,603000.0,667237.4347574592
95,485000.0,404872.7644092848
96,479000.0,548142.1453400971
97,329000.0,253199.63006982545
98,349000.0,395541.20310264756
99,539000.0,530244.4538667451
100,583000.0,509806.9102977101
101,645000.0,869511.226852033
102,545000.0,461137.3296773847
103,819000.0,751217.497722409
104,439000.0,478143.92752306175
105,499900.0,363188.5603392171
106,549000.0,628427.3196643144
107,334900.0,387664.631540708
108,879000.0,984426.4775972015
109,369900.0,440779.8543269326
110,329000.0,336155.6373047305
111,395000.0,549184.0093594362
112,599000.0,667428.8562118746
113,369000.0,367602.60746489675
114,890000.0,1306470.86587234
115,365800.0,494738.861069996
116,319700.0,509108.85142043384
117,589000.0,676666.2871072551
118,759000.0,658564.3895100527
119,565000.0,607847.4128506056
120,259000.0,267490.49147805665
121,249000.0,322592.30481719924
122,975000.0,992585.7513407792
123,468000.0,219906.81506930315
124,359000.0,437115.0287034877
125,465000.0,592150.9900156071
126,615000.0,453368.7441839869
127,460000.0,409065.06080786744
128,309900.0,353447.2849943974
129,520000.0,453384.6437090611
130,348500.0,381376.6679592632
131,517000.0,456458.3833526862
132,400000.0,488703.1517936605
133,449800.0,619717.8612574043
134,1100000.0,732820.5760903291
135,999800.0,581905.2592812229
136,499000.0,492522.18534181325
137,249700.0,393494.2544701225
138,889000.0,785739.0318438925
139,379000.0,407073.1310156969
140,698000.0,686065.3615418454
141,499000.0,598506.73406638
142,769900.0,796366.4052420545
143,469000.0,403363.3524795496
144,439000.0,403051.8905076338
145,460000.0,505599.6769480556
146,438000.0,703867.9453142539
147,409000.0,218597.1822990767
148,429000.0,434212.6735834542
149,728800.0,702297.6434031148
150,859000.0,802784.7954462129
151,968000.0,744676.0553453267
152,539000.0,550807.8754768331
153,989000.0,854135.6767416154
