,0
restaurants,1.14272941069752
vibrant,2.2106298958291597
cycling_friendly,2.3537933662106543
car_friendly,1.4674928053050427
historic,1.9365484992650706
quiet,2.887793472999228
parks,0.7325332214396384
groceries,0.5882981097341401
cafes,1.7701151340436416
transit_friendly,0.7663527029648605
greenery,1.6811700647037782
year_built,36.20874822870661
walk_score,13.514761750162085
bedrooms,0.7059500095144084
bathrooms,0.4151736216101059
powder_rooms,0.22584799479023876
total_area,292.3825606504332
mr_distance,1.807842364575489
