,0
restaurants,9.409986859395532
vibrant,8.295663600525625
cycling_friendly,7.30880420499343
car_friendly,5.442838370565046
historic,5.670827858081472
quiet,3.695795006570302
parks,9.609724047306177
groceries,9.645203679369251
cafes,8.696452036793692
transit_friendly,9.376478318002627
greenery,5.009855453350855
year_built,1993.3981603153745
walk_score,82.90341655716163
bedrooms,1.7299605781865965
bathrooms,1.21419185282523
powder_rooms,0.05387647831800263
total_area,852.8896189224704
mr_distance,3.7009321559002375
