,title,address,price,lat,long,Restaurants,Shopping,Vibrant,Cycling friendly,Car friendly,Historic,Quiet,Elementary Schools,High Schools,Parks,Nightlife,Groceries,Daycares,Pedestrian friendly,Cafes,Transit friendly,Greenery,rooms,bedrooms,bathroom,Condominium type,Net area,Year built,Parking (total),Population 2016 ,Population variation between 2011 2016 ,Population density ,Unemployment rate 2016 ,"Less than $50,000 (%)","Between $50,000 and $80,000 (%)","Between $80,000 and $100,000 (%)","Between $100,000 and $150,000 (%)","More than $150,000 (%)",1-person households (%),2-person households (%),3-person households (%),4-person households (%),5-person or more households (%),Couples without children at home (%),Couples with children at home (%),Single-parent families (%),Owners (%),Renters (%),Before 1960 (%),Between 1961 and 1980 (%),Between 1981 and 1990 (%),Between 1991 and 2000 (%),Between 2001 and 2010 (%),Between 2011 and 2016 (%),Single-family homes (%),Semi-detached or row houses (%),Buildings with less than 5 floors (%),Buildings with 5 or more floors (%),Mobile homes (%),University (%),College (%),Secondary (high) school (%),Apprentice or trade school diploma (%),No diploma (%),Non-immigrant population (%),Immigrant population (%),French (%),English (%),Others languages (%),bathrooms,Pool,Additional features,walk_score,bedroom,Gross area,powder room,Building style,Lot area,Fireplace/Stove,in basement,Use of property,Number of units,Residential units,Main unit,Potential gross revenue,powder rooms,Intergenerational,Building area (at ground level),room,Available area,Residential unit,bedrooms in basement,Zoning,Parking (excluded from the price),bedroom in basement,< 15 years (%),15 to 24 years (%),25 to 44 years (%),45 to 64 years (%),> 65 years (%)
0,Condo for sale,"5050, Rue Bannantyne, apt. 203, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun","$409,000",45.4560790000,-73.5759490000,7,8,5,9,6,5,8,10,7,10,3,9,9,10,5,8,5,8,2,1,Divided,"1,014 sqft",2008,Garage (1),69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Condo for sale,"201, Chemin de la Pointe-Sud, apt. 216, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs","$680,000",45.4493470000,-73.5533270000,3,3,1,7,10,0,10,7,0,8,0,2,4,3,1,4,5,6,3,,Divided,"1,249 sqft",2006,Garage (2),69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,2,"Heated, Inground",Elevator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Condo for sale,"8800, Rue Verville, apt. 101, Montréal (Ahuntsic-Cartierville), Neighbourhood Ahuntsic West","$283,000",45.5365892400,-73.6465895700,8,10,5,3,6,2,0,9,7,8,4,10,6,8,6,9,4,6,2,1,Divided,848 sqft,2007,Garage (1),134245,6,5545,10,49,23,9,11,9,41,27,13,12,7,34,46,20,39,61,37,33,14,6,6,4,9,5,73,13,0,36,16,20,10,17,59,41,65.0,10.0,25.0,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Condo for sale,"185, Rue du Séminaire, apt. 605, Montréal (Le Sud-Ouest), Neighbourhood Griffintown","$339,000",45.4909150000,-73.5607790000,10,10,9,9,5,6,7,7,4,10,9,10,8,10,10,9,5,4,,1,Divided,,2013,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,"Heated, Inground, Indoor","Adapted for reduced mobility, Elevator",70,1,621 sqft,,,,,,,,,,,,,,,,,,,,,,,,,
4,Condo for sale,"7075, Rue Bombardier, apt. 108, Montréal (Anjou)","$177,800",45.6061860000,-73.5883530000,6,7,3,4,9,0,6,4,5,8,3,9,2,7,4,7,5,6,,1,Divided,586 sqft,1993,Driveway (1),42796,2,3103,10,45,26,10,12,7,38,31,13,12,7,38,41,21,44,56,15,49,16,10,10,1,8,9,65,18,0,25,17,23,14,20,66,34,76.0,8.0,16.0,,,,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,House for sale,"5221, Avenue Doherty, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce","$698,000",45.4618247700,-73.6504931200,6,7,3,6,7,2,6,9,9,8,3,8,6,7,5,8,8,7,3,,,,1952,Driveway (1),166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,2,,Basement 6 feet or +,56,,,1,"Two or more storey, Semi-detached","3,030 sqft",Fireplace - Other,,,,,,,,,,,,,,,,,,,,,
6,Condo for sale,"1000, Rue Ottawa, apt. 823, Montréal (Le Sud-Ouest), Neighbourhood Griffintown","$365,000",45.4947180000,-73.5586710000,10,10,9,10,5,6,3,9,3,10,9,10,9,10,10,10,3,3,,1,Divided,464 sqft,2014,Garage (1),80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,"Heated, Inground, Indoor","Adapted for reduced mobility, Elevator",83,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,House for sale,"2691, Rue Hill Park Circle, Montréal (Ville-Marie), Neighbourhood Central West","$1,725,000",45.4967300000,-73.6000710000,10,10,5,4,8,4,8,8,8,10,6,6,2,7,8,8,10,8,3,,,,1987,"Driveway (1), Garage (2)",87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,2,,,,,,1,"Two or more storey, Attached","1,827 sqft",Wood fireplace,,,,,,,,,,,,,,,,,,,,,
8,House for sale,"5020, Rue Laurin, Montréal (Pierrefonds-Roxboro), Neighbourhood Pierrefonds/Central East","$619,000",45.5066830000,-73.7752400000,4,5,2,5,10,0,5,10,10,8,3,8,8,4,2,5,6,11,4,,,,2000,"Driveway (2), Garage (1)",69297,1,2547,8,33,24,12,19,13,24,28,18,19,11,30,53,17,70,30,16,39,18,11,13,3,51,13,31,5,0,32,20,25,9,15,59,41,30.0,45.0,25.0,2,,Basement 6 feet or +,21,,,1,"Two or more storey, Detached","4,090 sqft",,(1,,,,,,,,,,,,,,,,,,,,
9,Duplex for sale,"5421 - 5423, 15e Avenue, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Old Rosemont","$679,000",45.5542860000,-73.5721370000,9,9,7,8,5,4,8,10,9,9,6,10,10,10,6,8,8,,,,,,1949,,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,,,Basement 6 feet or +,79,,,,Attached,,,,Residential only,Residential (2),"1 x 5 ½, 1 x 6 ½","6 rooms, 3 bedrooms, 2 bathrooms and 1 powder room","$30,960",,,,,,,,,,,,,,,
10,Quadruplex for sale,"9636 - 9640, Rue Notre-Dame Est, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier","$569,750",45.6103790000,-73.5104440000,5,5,3,7,8,4,4,8,5,7,4,8,6,5,4,6,7,,,,,,1922,Driveway (2),136024,3,5347,9,52,24,9,11,5,45,32,12,8,4,42,35,23,34,66,43,31,10,5,7,4,5,5,86,4,0,29,17,21,14,20,79,21,85.0,5.0,10.0,,,,28,,,,Attached,,,,Residential only,Residential (4),4 x 3 ½,"3 rooms, 1 bedroom, 1 bathroom","$37,740",,,,,,,,,,,,,,,
11,Condo for sale,"7905, Rue Saint-Hubert, apt. 301, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray","$389,000",45.5456567100,-73.6241911300,10,10,8,9,5,5,7,9,8,10,6,10,10,10,8,9,5,5,2,1,Divided,729 sqft,2010,,143853,1,8692,11,58,23,8,8,3,40,29,14,11,7,33,42,25,28,72,49,33,6,4,4,3,3,2,91,4,0,29,14,20,11,26,56,44,57.0,10.0,33.0,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Condo for sale,"266, Rue Argyle, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun","$429,000",45.4528823700,-73.5688586600,7,7,5,9,6,5,6,10,3,10,4,9,9,10,6,8,6,7,3,1,Undivided,"1,442 sqft",1930,,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,,,,71,,,,,,,(2,,,,,,,,,,,,,,,,,,,,
13,Condo for sale,"6890, Rue Lacroix, Montréal (Le Sud-Ouest), Neighbourhood Saint-Paul/Émard","$139,000",45.4480633500,-73.6014010400,6,8,4,6,7,3,4,8,4,10,3,7,5,7,4,9,7,3,,1,Divided,450 sqft,1955,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,
14,House for sale,"1215, Rue Muir, Montréal (Saint-Laurent), Neighbourhood Others","$588,000",45.5246070000,-73.6743480000,6,8,3,5,8,1,4,9,7,8,2,9,8,6,5,9,6,10,4,1,,,1959,"Driveway (2), Garage (1)",98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,,,,60,,,1,"Split-level, Detached","3,174 sqft",,(1,,,,,,,,,,,,,,,,,,,,
15,Condo for sale,"240, Rue Lyette, apt. 304, Montréal (LaSalle)","$324,000",45.4306310000,-73.6656440000,5,5,3,8,9,4,8,7,7,10,4,6,4,5,4,5,6,5,2,1,Divided,861 sqft,"To be built, New",Garage (1),76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Condo for sale,"240, Rue Lyette, apt. 303, Montréal (LaSalle)","$251,000",45.4306310000,-73.6656440000,5,5,3,8,9,4,8,7,7,10,4,6,4,5,4,5,6,4,,1,Divided,552 sqft,"To be built, New",Garage (1),76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,,,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Condo for sale,"240, Rue Lyette, apt. 302, Montréal (LaSalle)","$324,000",45.4306310000,-73.6656440000,5,5,3,8,9,4,8,7,7,10,4,6,4,5,4,5,6,5,2,1,Divided,871 sqft,"To be built, New",Garage (1),76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Condo for sale,"240, Rue Lyette, apt. 301, Montréal (LaSalle)","$277,000",45.4306310000,-73.6656440000,5,5,3,8,9,4,8,7,7,10,4,6,4,5,4,5,6,4,,1,Divided,726 sqft,"To be built, New",Garage (1),76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,,,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Condo for sale,"240, Rue Lyette, apt. 301, Montréal (LaSalle)","$277,000",45.4306310000,-73.6656440000,5,5,3,8,9,4,8,7,7,10,4,6,4,5,4,5,6,4,,1,Divided,726 sqft,"To be built, New",Garage (1),76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,,,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Condo for sale,"440, Rue De La Gauchetière Est, apt. 305, Montréal (Ville-Marie), Neighbourhood Central","$315,000",45.5125150000,-73.5562370000,10,10,10,8,4,7,6,4,5,10,10,9,8,10,10,10,6,4,,1,Divided,623 sqft,2013,,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,,,"Adapted for reduced mobility, Elevator",89,1,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Condominium house for sale,"7112, Rue Daudet, Montréal (Saint-Léonard)","$899,000",45.5695460000,-73.5873189000,8,9,5,6,7,2,4,9,7,8,5,10,6,10,6,8,4,13,4,,Divided,,2017,Garage (2),78305,3,5813,11,48,27,9,10,5,30,29,16,15,9,30,49,21,35,65,14,64,8,5,6,2,6,3,83,8,0,22,16,23,14,26,51,49,44.0,22.0,34.0,2,,Basement 6 feet or +,,,,1,Attached,"2,584 sqft",,,,,,,,,,,,,,,,,,,,,,
22,House for sale,"8071, Avenue Louis-Lumière, Montréal (Rivière-des-Prairies/Pointe-aux-Trembles), Neighbourhood Rivière-des-Prairies","$419,000",45.6392420000,-73.5938150000,4,4,2,6,8,2,9,9,3,8,1,8,8,5,5,7,5,13,3,1,,,1976,"Driveway (1), Garage (1)",106743,0,2515,7,38,25,12,17,8,28,32,17,15,8,34,43,23,64,36,13,28,31,14,11,3,26,24,47,3,0,16,17,25,18,24,76,24,71.0,16.0,13.0,,,Basement 6 feet or +,25,,,1,"Bungalow, Semi-detached","3,688 sqft",Wood fireplace,,,,,,,,,,,,,,,,,,,,,
23,House for sale,"12230, Rue Saint-Évariste, Montréal (Ahuntsic-Cartierville), Neighbourhood Cartierville","$599,000",45.5341470000,-73.7129900000,6,6,3,4,9,3,4,10,9,8,3,7,6,6,5,8,7,12,4,,,,1969,"Driveway (1), Garage (1)",134245,6,5545,10,49,23,9,11,9,41,27,13,12,7,34,46,20,39,61,37,33,14,6,6,4,9,5,73,13,0,36,16,20,10,17,59,41,65.0,10.0,25.0,3,"Heated, Inground",Basement 6 feet or +,40,,,,"Bungalow, Semi-detached","3,233 sqft",,(1,,,,,,,,,,,,,,,,,,,,
24,Condo for sale,"1200, Rue Saint-Alexandre, apt. 622, Montréal (Ville-Marie), Neighbourhood Central West","$360,000",45.5046300000,-73.5664290000,10,10,10,6,5,7,3,7,7,10,10,10,10,10,10,10,4,3,,1,Divided,369 sqft,2009,,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,,,Elevator,98,1,,,,,,,,,,,,,,,,,,,,,,,,,,
25,House for sale,"3878, Avenue De Ramezay, Montréal (Ville-Marie), Neighbourhood Central West","$4,698,000",45.4927500000,-73.5949400000,10,10,7,5,6,5,9,10,10,10,8,9,5,9,9,9,9,12,4,,,,"1933, Century","Driveway (4), Garage (2)",87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,4,,,64,,,,"Two or more storey, Detached","6,896 sqft",Wood fireplace,(1,,,,,,2,,,,,,,,,,,,,,
26,Duplex for sale,"1915 - 1917, Rue Viau, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Hochelaga-Maisonneuve","$899,000",45.5591770000,-73.5347960000,6,6,5,10,8,6,6,10,7,8,4,9,8,9,6,7,6,,,,,,1955,Driveway (1),136024,3,5347,9,52,24,9,11,5,45,32,12,8,4,42,35,23,34,66,43,31,10,5,7,4,5,5,86,4,0,29,17,21,14,20,79,21,85.0,5.0,10.0,,,Basement 6 feet or +,52,,,,Attached,"2,500 sqft",,,Residential only,Residential (2),"1 x 6 ½, 1 x Other","11 rooms, 3 bedrooms, 2 bathrooms","$48,000",,,,,,,,,,,,,,,
27,Condo for sale,"7700, Rue du Mans, apt. 101, Montréal (Saint-Léonard)","$988,000",45.5840800000,-73.5848760000,7,8,5,3,7,0,4,9,4,8,4,9,5,10,6,7,3,12,5,,Divided,"2,659 sqft",2011,Garage (5),78305,3,5813,11,48,27,9,10,5,30,29,16,15,9,30,49,21,35,65,14,64,8,5,6,2,6,3,83,8,0,22,16,23,14,26,51,49,44.0,22.0,34.0,3,,Elevator,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,House for sale,"8717, Rue De Teck, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier","$377,000",45.6039010000,-73.5283640000,6,7,4,5,7,3,0,10,10,8,4,9,8,7,6,9,6,5,4,,,,1953,Driveway (1),136024,3,5347,9,52,24,9,11,5,45,32,12,8,4,42,35,23,34,66,43,31,10,5,7,4,5,5,86,4,0,29,17,21,14,20,79,21,85.0,5.0,10.0,2,,Basement 6 feet or +,60,,,,"Bungalow, Attached","2,250 sqft",,(2,,,,,,,"5 rooms, 2 bedrooms in basement, 1 bathroom",,,,,,,,,,,,,
29,Condo for sale,"4790, Avenue Victoria, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges","$748,000",45.4861108600,-73.6192281300,9,9,5,3,8,4,7,9,9,8,4,7,8,8,6,9,8,11,4,,Divided,"1,860 sqft",1929,"Driveway (1), Garage (1)",166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,2,,Basement 6 feet or +,45,,,1,,,Wood fireplace,(1,,,,,,,,,,,,,,,,,,,,
30,Triplex for sale,"5518 - 5522, boulevard Saint-Michel, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Old Rosemont","$719,700",45.5513730000,-73.5751690000,9,9,8,9,7,6,3,9,8,10,8,10,8,10,7,9,6,,,,,,1927,Driveway (1),139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,,,,84,,,,Attached,"2,286 sqft",,,Residential only,Residential (3),3 x 5 ½,"5 rooms, 2 bedrooms, 1 bathroom","$40,020",,,875 sqft,,,,,,,,,,,,
31,Condo for sale,"299, Rue de la Rotonde, apt. 204, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs","$528,000",45.4730501900,-73.5384478300,6,5,3,5,10,0,9,1,3,8,4,6,2,5,4,6,3,5,,1,Divided,"1,043 sqft",2014,Garage (1),69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,,"Heated, Inground, Indoor","Located on a fleuve (river), Navigable body of water, Elevator",,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
32,Condo for sale,"4755, Avenue Papineau, apt. 209, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal","$450,000",45.5344390000,-73.5772690000,10,10,10,10,6,7,0,9,8,10,10,10,9,10,10,9,6,8,2,1,Divided,783 sqft,2017,Garage (1),104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Loft / Studio for sale,"4225, Rue Saint-Dominique, apt. 209, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal","$549,000",45.5189020000,-73.5814460000,10,10,10,10,3,7,6,10,8,10,10,10,9,10,10,9,5,,,1,Divided,950 sqft,1952,Garage (1),104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,,,Elevator,96,1,,,,,,,,,,,,,,,1,,,,,,,,,,,
34,House for sale,"12209, Rue Saint-Évariste, Montréal (Ahuntsic-Cartierville), Neighbourhood Cartierville","$679,000",45.5342520000,-73.7123780000,6,6,3,4,9,3,4,10,9,8,3,7,6,6,5,8,7,10,5,,,,1968,Garage (1),134245,6,5545,10,49,23,9,11,9,41,27,13,12,7,34,46,20,39,61,37,33,14,6,6,4,9,5,73,13,0,36,16,20,10,17,59,41,65.0,10.0,25.0,3,,Basement 6 feet or +,,,,,"Split-level, Semi-detached","3,186 sqft",,(1,,,,,,,"3 rooms, 1 bedroom in basement, 1 bathroom",,,,,,,,,,,,,
35,Triplex for sale,"6426 - 6428, Rue Marie-Victorin, Montréal (Montréal-Nord)","$599,000",45.6134130000,-73.6137970000,5,6,3,5,7,0,6,9,9,7,2,8,9,7,5,7,6,,,,,,1965,"Driveway (1), Garage (1)",84234,0,7637,12,59,24,7,7,2,37,28,15,12,9,28,42,30,28,72,28,52,11,4,3,2,8,5,77,10,0,15,13,23,18,31,58,42,67.0,8.0,25.0,,,Basement 6 feet or +,,,,,Semi-detached,"3,375 sqft",,,Residential only,Residential (3),"1 x 3 ½, 2 x 5 ½","5 rooms, 3 bedrooms, 1 bathroom","$20,280",,,,,,,,,,,,,,,
36,Condo for sale,"1451, Rue Parthenais, apt. 114, Montréal (Ville-Marie), Neighbourhood Central","$434,800",45.5267000000,-73.5496460000,10,10,9,10,5,6,5,10,9,10,9,10,6,10,9,10,4,4,2,1,Divided,"1,005 sqft",2007,Garage (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,House for sale,"7855, Rue Louis-Hémon, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray","$739,000",45.5558550000,-73.6121900000,9,9,7,7,5,2,8,9,7,9,5,10,10,10,7,9,9,14,3,1,,,1952,Driveway (7),143853,1,8692,11,58,23,8,8,3,40,29,14,11,7,33,42,25,28,72,49,33,6,4,4,3,3,2,91,4,0,29,14,20,11,26,56,44,57.0,10.0,33.0,,,Basement 6 feet or +,64,,,1,"Bungalow, Detached","4,500 sqft",Wood fireplace,,,,,,,,,,,,,,,,,,,,,
38,Condo for sale,"350, Rue Berri, apt. 501, Montréal (Ville-Marie), Neighbourhood Old Montréal","$929,000",45.5109060400,-73.5503942500,10,10,10,8,5,7,0,3,3,10,10,10,8,8,10,10,7,7,2,,Divided,"1,076 sqft",2014,Garage (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,2,,"Located on a river, Elevator",83,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Condo for sale,"350, Rue Berri, apt. 501, Montréal (Ville-Marie), Neighbourhood Old Montréal","$929,000",45.5109060400,-73.5503942500,10,10,10,8,5,7,0,3,3,10,10,10,8,8,10,10,7,7,2,,Divided,"1,076 sqft",2014,Garage (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,2,,"Located on a river, Elevator",83,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,House for sale,"21, Rue Jean-Yves, Montréal (L'Île-Bizard/Sainte-Geneviève), Neighbourhood L'Île-Bizard","$320,000",45.4832930000,-73.8808220000,3,3,1,3,9,2,9,8,0,7,3,4,5,3,3,2,8,7,3,1,,,1982,"Driveway (4), Garage (2)",18413,2,778,7,30,19,10,20,21,25,31,18,18,9,34,50,16,74,26,13,30,27,15,11,4,61,8,27,2,2,33,21,22,11,13,75,25,53.0,35.0,12.0,,,Basement 6 feet or +,11,,,,"Bungalow, Detached","7,500 sqft",,,,,,,,,,,,,,,,,,,,,,
41,Condo for sale,"4253, Rue De Richelieu, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne","$310,000",45.4784162000,-73.5917603600,10,10,7,6,6,6,3,9,10,8,6,10,10,10,8,9,6,7,2,1,Divided,806 sqft,2010,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Condo for sale,"7109, Avenue Giraud, Montréal (Anjou)","$479,000",45.6030337300,-73.5803004300,6,8,4,5,7,0,9,7,3,8,3,8,6,7,5,6,7,16,2,,Divided,,1979,Garage (2),42796,2,3103,10,45,26,10,12,7,38,31,13,12,7,38,41,21,44,56,15,49,16,10,10,1,8,9,65,18,0,25,17,23,14,20,66,34,76.0,8.0,16.0,2,,Basement 6 feet or +,,,,1,,,Wood fireplace,,,,,,,,,,,,,,,,,,,,,
43,House for sale,"5130, Avenue MacMahon, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce","$659,000",45.4618360000,-73.6487930000,6,7,3,6,7,2,6,8,9,8,3,8,6,7,5,8,8,11,3,,,,1952,"Carport (2), Driveway (1)",166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,2,,Basement 6 feet or +,,,,,"Two or more storey, Semi-detached","4,056 sqft",,,,,,,,,,,,,,,,,,,,,,
44,Condominium house for sale,"146, Rue de la Rotonde, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs","$1,819,000",45.4740343700,-73.5380599700,6,5,3,5,10,0,9,1,3,8,4,6,2,5,4,6,3,13,4,,Divided,,2013,Garage (2),69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,3,"Heated, Inground, Indoor","Located on a fleuve (river), Navigable body of water, Elevator",29,,,1,Attached,,,,,,,,,,,,,,,,,,,,,,,
45,Condo for sale,"115, Chemin de la Côte-Sainte-Catherine, apt. 601, Montréal (Outremont)","$679,000",45.5161720000,-73.5946990000,10,10,10,9,6,6,3,9,9,10,10,9,6,10,10,9,9,5,2,,Divided,"1,214 sqft",1986,Garage (1),23954,2,6254,6,29,19,9,15,27,33,30,14,13,10,34,50,16,54,46,73,16,4,4,2,1,8,14,59,19,0,59,14,15,3,10,74,26,61.0,19.0,20.0,2,Inground,Elevator,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Condo for sale,"90, Rue des Soeurs-Grises, apt. 202, Montréal (Ville-Marie), Neighbourhood La Cité du Multimédia","$545,000",45.4987890000,-73.5545970000,10,10,10,9,5,9,4,8,3,10,10,10,8,10,10,9,4,3,,1,Divided,,2003,Garage (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,,Inground,,89,1,"1,200 sqft",,,,,,,,,,,,,,,,,,,,,,,,,
47,Condo for sale,"1700, boulevard Alexis-Nihon, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc","$439,000",45.5119302700,-73.7048408100,6,7,3,8,8,0,8,4,5,9,2,8,8,6,5,7,5,7,2,1,Divided,,Unknown age,Garage (1),98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
