,title,address,price,lat,long,Restaurants,Shopping,Vibrant,Cycling friendly,Car friendly,Historic,Quiet,Elementary Schools,High Schools,Parks,Nightlife,Groceries,Daycares,Pedestrian friendly,Cafes,Transit friendly,Greenery,rooms,bedrooms,bathroom,Condominium type,Net area,Year built,Parking (total),Population 2016 ,Population variation between 2011 2016 ,Population density ,Unemployment rate 2016 ,"Less than $50,000 (%)","Between $50,000 and $80,000 (%)","Between $80,000 and $100,000 (%)","Between $100,000 and $150,000 (%)","More than $150,000 (%)",1-person households (%),2-person households (%),3-person households (%),4-person households (%),5-person or more households (%),Couples without children at home (%),Couples with children at home (%),Single-parent families (%),Owners (%),Renters (%),Before 1960 (%),Between 1961 and 1980 (%),Between 1981 and 1990 (%),Between 1991 and 2000 (%),Between 2001 and 2010 (%),Between 2011 and 2016 (%),Single-family homes (%),Semi-detached or row houses (%),Buildings with less than 5 floors (%),Buildings with 5 or more floors (%),Mobile homes (%),University (%),College (%),Secondary (high) school (%),Apprentice or trade school diploma (%),No diploma (%),Non-immigrant population (%),Immigrant population (%),French (%),English (%),Others languages (%),bathrooms,Pool,Additional features,walk_score,bedroom,Gross area,powder room,Building style,Lot area,Fireplace/Stove,in basement,Use of property,Number of units,Residential units,Main unit,Potential gross revenue,powder rooms,Intergenerational,Building area (at ground level),room,Available area,Residential unit,bedrooms in basement,Zoning,Parking (excluded from the price),bedroom in basement,< 15 years (%),15 to 24 years (%),25 to 44 years (%),45 to 64 years (%),> 65 years (%)
1363,Condo for sale,"1310, boulevard René-Lévesque Ouest, apt. 2705, Montréal (Ville-Marie), Neighbourhood Golden Square Mile","$865,000",45.4968009700,-73.5718548300,10,10,10,5,7,7,2,7,8,10,10,10,10,10,10,10,3,4,2,,Divided,984 sqft,2018,Garage (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,2,"Heated, Indoor","Adapted for reduced mobility, Elevator",97,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,House for sale,"12320, Avenue Primat-Paré, Montréal (Rivière-des-Prairies/Pointe-aux-Trembles), Neighbourhood Rivière-des-Prairies","$489,900",45.6599897900,-73.5537683300,3,3,2,4,8,0,10,9,3,7,0,5,4,4,2,4,6,12,4,,,,1988,Driveway (2),106743,0,2515,7,38,25,12,17,8,28,32,17,15,8,34,43,23,64,36,13,28,31,14,11,3,26,24,47,3,0,16,17,25,18,24,76,24,71.0,16.0,13.0,2,,Basement 6 feet or +,2,,,,"Bungalow, Detached","6,554 sqft",Wood fireplace,(1,,,,,,,,,,,,,,,,,,,,
1365,Condo for sale,"133, Rue Saint-Philippe, apt. 2, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne","$439,000",45.4746120000,-73.5825310000,10,10,7,10,6,6,8,8,7,10,6,10,5,10,7,9,6,6,3,1,Divided,929 sqft,2011,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,Condo for sale,"2530, Place Michel-Brault, apt. 645, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Old Rosemont","$479,000",45.5422140000,-73.5739660000,10,9,7,9,6,3,3,7,4,10,8,10,6,8,8,8,3,5,2,,Divided,842 sqft,2015,Garage (1),139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,2,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,Condo for sale,"305, Rue de la Commune Ouest, apt. 41, Montréal (Ville-Marie), Neighbourhood Old Montréal","$1,495,000",45.5009964300,-73.5537955700,10,10,10,8,6,10,1,7,2,10,10,10,6,10,10,9,6,13,4,,Divided,"2,453 sqft",1840,Garage (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,2,,Elevator,89,,,,,,Wood fireplace,,,,,,,,,,,,,,,,,,,,,
1368,Condo for sale,"305, Rue de la Commune Ouest, apt. 41, Montréal (Ville-Marie), Neighbourhood Old Montréal","$1,495,000",45.5009964300,-73.5537955700,10,10,10,8,6,10,1,7,2,10,10,10,6,10,10,9,6,13,4,,Divided,"2,453 sqft",1840,Garage (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,2,,Elevator,89,,,,,,Wood fireplace,,,,,,,,,,,,,,,,,,,,,
1369,Triplex for sale,"456 - 460, Rue Saint-Jacques, Montréal (Lachine), Neighbourhood Saint-Pierre","$550,000",45.4426820000,-73.6494560000,7,6,3,5,9,5,0,9,5,9,2,9,9,8,6,8,5,,,,,,1964,,44489,7,2498,9,48,22,10,12,9,40,29,14,11,5,35,41,24,43,57,44,27,9,7,7,6,15,10,70,6,0,27,16,23,13,21,77,23,59.0,30.0,11.0,,,,43,,,,Detached,"7,679 sqft",,,Residential and commercial,"Residential (2), Commercial (2)",2 x 3 ½,"3 rooms, 1 bedroom, 1 bathroom","$38,160",,,,,From 11 sqft to 22 sqft,,,,,,,,,,
1370,Condo for sale,"1170, Rue Montcalm, apt. 810, Montréal (Ville-Marie), Neighbourhood Village","$520,000",45.5175640000,-73.5541940000,10,10,10,10,4,7,2,7,4,10,10,10,6,10,10,10,5,5,2,1,Divided,652 sqft,2019,Garage (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,Condo for sale,"4250, Rue Saint-Ambroise, apt. 120, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne","$375,000",45.4737210900,-73.5815866400,10,10,7,10,7,6,8,8,7,10,6,10,4,10,7,9,4,3,,1,Divided,588 sqft,2004,Garage (1),80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,"Located on a canal, Elevator",77,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,Triplex for sale,"3931 - 3935, Rue Joseph, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun","$850,000",45.4647510000,-73.5725180000,9,9,5,10,6,6,8,10,4,8,4,10,10,10,6,9,7,,,,,,1915,,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,,,Basement 6 feet or +,83,,,,Attached,"2,838 sqft",,,Residential only,Residential (3),"2 x 5 ½, 1 x 7 ½","5 rooms, 2 bedrooms, 1 bathroom","$34,080",,,,,,,,,,,,,,,
